archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.address.v1	description	-	purpose		To record details about the location of a person, physical building or landmark as they are known or understood in the course of clinical documentation.		
openEHR-EHR-CLUSTER.address.v1	description	-	use		Use to record details about the location of a person, physical building or landmark as they are known or understood in the course of clinical documentation, often ad hoc or when it is not appropriate or possible to use an address lookup service. Examples include:\n- the business address of an organisation providing home care to an individual; or\n- the postal address of the copyholder of an advanced care record, within the EVALUATION.advance_care_directive archetype; or\n- the physical location of a fall or accident.\n\nThe scope of this archetype has been constrained to carry the commonest structured components for identifying a specific physical building or landmark. In this context, a complete address may be described using:\n- One or more free text 'Address line' data elements to represent the huge variety of ways that ‘street-level' details may need to be recorded; and\n- 'Town' to represent a suburb, town, city, village, or community;\n- 'District/County' to represent a local government district;\n- 'State/Territory/Province’ to represent a major government district;\n- ‘Postcode’, and \n- ‘Country'.\nHowever, this archetype can be extended to include additional fine-grained details about the address by nesting the CLUSTER.structured_address within the 'Structured address' SLOT.\n\nThis CLUSTER.address archetype can also be used as a proxy for an address in formal demographic address data when reviewing a template with domain experts - for example, an assessment where reviewers would expect to see the individual's full contact details at the top of the assessment form.		
openEHR-EHR-CLUSTER.address.v1	description	-	misuse		Not to be used to record a fully structured address, such as described in ISO standards or as part of maintaining an official demographic register or index. Use an address lookup service, a formal Master Patient Index or a Health Provider Index for this purpose, or archetypes based on the openEHR Demographic Information Model.\n\nNot to be used to represent digital addresses for use in electronic communication. Use CLUSTER.electronic_communication for this purpose.\n\nNot to be used to record details about housing or homelessness. Use the EVALUATION.housing_summary for this purpose.		
openEHR-EHR-CLUSTER.address.v1	description	-	keywords		address | postal | mailing | home | business | physical | landmark		
openEHR-EHR-CLUSTER.address.v1	term	at0000	text	CLUSTER	Address		
openEHR-EHR-CLUSTER.address.v1	term	at0000	description	CLUSTER	Details about the location of a person, physical building or landmark.		
openEHR-EHR-CLUSTER.address.v1	term	at0001	text	CLUSTER > items/ELEMENT	Address line		
openEHR-EHR-CLUSTER.address.v1	term	at0001	description	CLUSTER > items/ELEMENT	An unstructured address line representing all relevant street-level or post-box details that would support the identification of a location.		
openEHR-EHR-CLUSTER.address.v1	term	at0001	comment	CLUSTER > items/ELEMENT	Occurrences for this data element is set to 0..* to allow one or more free text 'Address line' data elements to represent the huge variety of ways that ‘street-level' details may need to be recorded within the context of a specified 'Town'. Multiple address lines can be represented in a template, renamed as 'Address line 1', 'Address line 2,' etc. For example: '7A/52 Davis Street' or 'Apartment 7A' as Address line 1 with '52 Davis Street' as Address line 2; a roadside mail box location, such as 'RMB 725, Princes Highway'; or using a descriptive landmark, such as or 'Corner of Smith & Brown Streets' or 'Second house north of the general store with the red door'.		
openEHR-EHR-CLUSTER.address.v1	term	at0002	text	CLUSTER > items/ELEMENT	City/Town		
