archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.anatomical_location.v1	description	-	purpose		To identify and record structured details about a single physical site on, or within, the human body using macroscopic anatomical terms.	肉眼解剖学の用語を用いて、人体の体表または体内の単一の部位を特定し、構造化された詳細情報を記録するため。	
openEHR-EHR-CLUSTER.anatomical_location.v1	description	-	use		Use to record structured details about a single identified physical site on or within the human body.\n\nIn many situations, a simple data element such as ‘Location of measurement’ or ‘Body site’ will be sufficient and practical when the value set is straightforward. This archetype is intended for cases where a more detailed or structured representation of an anatomical site is required, including precise or compound descriptions. It can be nested within relevant ENTRY or CLUSTER archetypes such as those for symptoms, findings, or interventions to support multiaxial or postcoordinated anatomical expressions. Examples include documenting pain in the lower limb, tenderness at McBurney’s point, or a laceration on the palmar aspect of the proximal right thumb.\n\nThe ‘Laterality' data element may be used to qualify whether a paired structure or region is affected on the left, right, or both sides. When involvement is symmetrical and equivalent on both sides, for example the same cancer in both lungs or similar pain in both legs, record 'Left and right’. However, when the clinical characteristics differ between sides, two separate instances should be used:\n\n- Two parallel instances of this archetype within the same SLOT, each with its own laterality and specific details. For example, documenting equal tumours in the lower left lung lobe and the upper right lung lobe.\n- Two parallel instances of the parent archetype, each containing an instance of this archetype, when there are clinically significant differences such as tumour type, size, or severity in each lung.\n\nThe 'Alternative structure' SLOT allows inclusion of additional archetypes that provide an alternative structure for describing the same body site, such as CLUSTER.anatomical_location_relative or CLUSTER.anatomical_location_clock, should this be required. In situations where this archetype is used to name a large or non-specific body part, the additional use of the CLUSTER.anatomical_location_relative archetype will support recording of a more precise location, for example, 2 cm anterior to the cubital fossa of the left forearm or 4 cm below the right costal margin on the chest wall in the mid-clavicular line.\n\nIf this archetype is used within other archetypes where the specified subject of care is not the individual for whom the record is being created, for example a fetus in utero, then the anatomical location will be identifying a body site on or within the fetus.	人体の体表または体内の、特定された単一の部位について、構造化された詳細情報を記録するために用いる。\n\n多くの場合、値セットが単純であれば、「測定部位」や「身体部位」のような単一のデータエレメントで十分であり、実用的である。本archetypeは、正確な記述や複数の情報を組み合わせた記述など、解剖学的部位をより詳細に、または構造化して表現する必要がある場合を想定している。症状、所見、介入などを扱う関連する ENTRY または CLUSTER archetypeの中に入れ子にして、多軸または事後調整された解剖学的表現を記録できる。例：下肢の疼痛、マックバーニー点の圧痛、右母指近位の掌側にある裂傷を記録する。\n\n「側性」データエレメントは、対をなす構造や領域の左側、右側、両側のどこが影響を受けているかを示すために用いる。両肺の同じがんや両下肢の同様の疼痛など、左右対称で同等の所見がある場合は「左右両側」と記録する。一方、臨床的な特徴が左右で異なる場合は、次のように2つの別々のインスタンスを用いる。\n\n- 同じ SLOT 内に本archetypeのインスタンスを2つ並べ、それぞれに側性と詳細情報を記録する。例：左肺下葉と右肺上葉にある同等の腫瘍を記録する。\n- 左右の肺で腫瘍の種類、大きさ、重症度などに臨床的に重要な違いがある場合は、親archetypeのインスタンスを2つ並べ、それぞれに本archetypeのインスタンスを含めて記録する。\n\n「代替の構造化表現」SLOT には、必要に応じて CLUSTER.anatomical_location_relative や CLUSTER.anatomical_location_clock などのarchetypeを追加できる。これにより、同じ身体部位を別の構造で表現できる。本archetypeで広い範囲の身体部位や具体的に特定されていない身体部位の名称を記録する場合、CLUSTER.anatomical_location_relative archetypeを併用することで、より正確な位置を記録できる。例：左前腕の肘窩より 2 cm 前方、鎖骨中線上の胸壁で右肋骨弓より 4 cm 下方。\n\n本archetypeを他のarchetype内で用い、指定されたケア対象者が記録の対象者本人ではなく、例えば子宮内の胎児である場合、解剖学的部位は胎児の体表または体内の身体部位を示す。	
openEHR-EHR-CLUSTER.anatomical_location.v1	description	-	misuse		Not to be used to describe involvement of both sides of a paired structure when the clinical findings differ significantly between sides. In such cases, each side should be documented using a separate instance of this archetype with side-specific detail.	対をなす構造の両側で臨床所見が大きく異なる場合の記録には、本archetypeの単一のインスタンスではなく、左右別々のインスタンスを用いる。それぞれに左右固有の詳細情報を記録する。	
openEHR-EHR-CLUSTER.anatomical_location.v1	description	-	keywords		location | site | anatomical | anatomic region | topographic anatomy | macroscopic | anatomic | anatomy	位置 | 部位 | 解剖学的 | 解剖学的領域 | 局所解剖学 | 肉眼的 | 解剖学的 | 解剖学 | 解剖学的部位 | 身体部位 | 局所解剖	
openEHR-EHR-CLUSTER.anatomical_location.v1	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0000	text	CLUSTER	Anatomical location	解剖学的部位	
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0000	description	CLUSTER	A physical site on or within the human body.	人体の体表または体内の部位。	
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0001	text	CLUSTER > items/ELEMENT	Body site name	身体部位名	
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0001	description	CLUSTER > items/ELEMENT	Identification of a single physical site either on, or within, the human body.	人体の体表または体内の単一の部位を示す。	
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0001	comment	CLUSTER > items/ELEMENT	This data element is the only mandated data point in this archetype and should be used as the primary data point to record an anatomical location with a commonly used name. It is strongly recommended that 'Body site name' be recorded as specifically as is anatomically possible. For example: record 'upper eyelid' rather than recording 'eyelid' with 'upper' as a qualifier; 'fifth rib' rather than 'rib' with a numeric qualifier. Use the other data elements for laterality, aspect, region and anatomical line to provide more detail.\n\nThis data element should be coded with a terminology capable of triggering decision support, where possible - an appropriate termset for use here could comprise individual concepts or a list of precoordinated terms. Free text should be used only if there is no appropriate terminology available.\n\nIf 'Body site name' is already identified in an archetype in which this Anatomical location archetype has been nested, then this data element may be redundant. However, it might be reasonable to duplicate 'Body site name' in this archetype to support semantic querying using this archetype, instead of the archetype in which it has been nested.	このデータエレメントは、本archetypeで唯一の必須データ項目である。一般に用いられる名称で解剖学的部位を記録するための主要なデータ項目として用いる。「身体部位名」は、解剖学的に可能な限り具体的に記録することを強く推奨する。例：「眼瞼」に「上」という修飾語を付けるのではなく「上眼瞼」と記録する。「肋骨」に数字の修飾語を付けるのではなく「第 5 肋骨」と記録する。さらに詳しく記録するには、側性、面、領域、解剖学的基準線を表す他のデータエレメントを用いる。\n\n可能であれば、このデータエレメントは臨床意思決定支援を起動できる用語集によりコード化する。ここで用いる用語セットは、個々の概念、または事前調整された用語の一覧で構成できる。適切な用語集が利用できない場合に限り、自由記述を用いる。\n\n本archetypeを他のarchetypeの中に入れ子にして使用し、そのarchetypeですでに「身体部位名」が示されている場合、このデータエレメントは冗長になることがある。ただし、入れ子先のarchetypeではなく本archetypeを用いて意味に基づく検索（semantic query）を行うために、本archetypeにも「身体部位名」を重複して記録することが妥当な場合もある。	
