archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.anatomical_location.v1	description	-	purpose		To identify and record structured details about a single physical site on, or within, the human body using macroscopic anatomical terms.		
openEHR-EHR-CLUSTER.anatomical_location.v1	description	-	use		Use to record structured details about a single identified physical site on or within the human body.\n\nIn many situations, a simple data element such as ‘Location of measurement’ or ‘Body site’ will be sufficient and practical when the value set is straightforward. This archetype is intended for cases where a more detailed or structured representation of an anatomical site is required, including precise or compound descriptions. It can be nested within relevant ENTRY or CLUSTER archetypes such as those for symptoms, findings, or interventions to support multiaxial or postcoordinated anatomical expressions. Examples include documenting pain in the lower limb, tenderness at McBurney’s point, or a laceration on the palmar aspect of the proximal right thumb.\n\nThe ‘Laterality' data element may be used to qualify whether a paired structure or region is affected on the left, right, or both sides. When involvement is symmetrical and equivalent on both sides, for example the same cancer in both lungs or similar pain in both legs, record 'Left and right’. However, when the clinical characteristics differ between sides, two separate instances should be used:\n\n- Two parallel instances of this archetype within the same SLOT, each with its own laterality and specific details. For example, documenting equal tumours in the lower left lung lobe and the upper right lung lobe.\n- Two parallel instances of the parent archetype, each containing an instance of this archetype, when there are clinically significant differences such as tumour type, size, or severity in each lung.\n\nThe 'Alternative structure' SLOT allows inclusion of additional archetypes that provide an alternative structure for describing the same body site, such as CLUSTER.anatomical_location_relative or CLUSTER.anatomical_location_clock, should this be required. In situations where this archetype is used to name a large or non-specific body part, the additional use of the CLUSTER.anatomical_location_relative archetype will support recording of a more precise location, for example, 2 cm anterior to the cubital fossa of the left forearm or 4 cm below the right costal margin on the chest wall in the mid-clavicular line.\n\nIf this archetype is used within other archetypes where the specified subject of care is not the individual for whom the record is being created, for example a fetus in utero, then the anatomical location will be identifying a body site on or within the fetus.		
openEHR-EHR-CLUSTER.anatomical_location.v1	description	-	misuse		Not to be used to describe involvement of both sides of a paired structure when the clinical findings differ significantly between sides. In such cases, each side should be documented using a separate instance of this archetype with side-specific detail.		
openEHR-EHR-CLUSTER.anatomical_location.v1	description	-	keywords		location | site | anatomical | anatomic region | topographic anatomy | macroscopic | anatomic | anatomy		
openEHR-EHR-CLUSTER.anatomical_location.v1	description	-	copyright		© openEHR Foundation		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0000	text	CLUSTER	Anatomical location		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0000	description	CLUSTER	A physical site on or within the human body.		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0001	text	CLUSTER > items/ELEMENT	Body site name		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0001	description	CLUSTER > items/ELEMENT	Identification of a single physical site either on, or within, the human body.		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0001	comment	CLUSTER > items/ELEMENT	This data element is the only mandated data point in this archetype and should be used as the primary data point to record an anatomical location with a commonly used name. It is strongly recommended that 'Body site name' be recorded as specifically as is anatomically possible. For example: record 'upper eyelid' rather than recording 'eyelid' with 'upper' as a qualifier; 'fifth rib' rather than 'rib' with a numeric qualifier. Use the other data elements for laterality, aspect, region and anatomical line to provide more detail.\n\nThis data element should be coded with a terminology capable of triggering decision support, where possible - an appropriate termset for use here could comprise individual concepts or a list of precoordinated terms. Free text should be used only if there is no appropriate terminology available.\n\nIf 'Body site name' is already identified in an archetype in which this Anatomical location archetype has been nested, then this data element may be redundant. However, it might be reasonable to duplicate 'Body site name' in this archetype to support semantic querying using this archetype, instead of the archetype in which it has been nested.		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0002	text	CLUSTER > items/ELEMENT	Laterality		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0002	description	CLUSTER > items/ELEMENT	The side of the body on which the identified body site is located.		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0002	comment	CLUSTER > items/ELEMENT	If the 'Body site name' includes a pre-coordinated term that already specifies laterality, this data element may be redundant. If the findings require documentation of a body site on both the left and right sides of the body, or involving both sides of a paired structure or region, use 'Left and right' only when the same anatomical site is affected on both sides and side-specific detail is not required. If the findings differ significantly between sides, each should be recorded as a separate instance of this archetype with the appropriate laterality.		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0003	text		Left		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0003	description		Left side of the body.		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0004	text		Right		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0004	description		Right side of the body.		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0023	text	CLUSTER > items/ELEMENT	Description		
openEHR-EHR-CLUSTER.anatomical_location.v1	term	at0023	description	CLUSTER > items/ELEMENT	Narrative description that can be used to further refine and support the 'Body site name'.		
