archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.electronic_communication.v1	description	-	purpose		To record details about a specified type of electronic communication as it is known or understood in the course of clinical documentation.		
openEHR-EHR-CLUSTER.electronic_communication.v1	description	-	use		Use to record details about a specified type of electronic communication for an individual or an organisation as it is known or understood in the course of clinical documentation. This is commonly ad hoc or when it is not appropriate or possible to use a formal register or index.		
openEHR-EHR-CLUSTER.electronic_communication.v1	description	-	misuse		Not to be used for complex communication representation or management, such as preferred phone numbers or valid dates of usage. Use a formal Master Patient Index or Health Provider Index for this purpose, or archetypes based on the openEHR Demographic Information Model.\n\nNot to be used to represent or replace formal identification management or for the purposes of maintaining an official demographic register or index. Use a formal Master Patient Index or Health Provider Index for this purpose, or archetypes based on the openEHR Demographic Information Model.		
openEHR-EHR-CLUSTER.electronic_communication.v1	description	-	keywords		telephone, phone, mobile, email, fax, pager, chat, social media, asynchronous, communication, SoMe		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0000	text	CLUSTER	Electronic communication		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0000	description	CLUSTER	Details about a specified type of electronic communication.		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0001	text	CLUSTER > items/ELEMENT	Type		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0001	description	CLUSTER > items/ELEMENT	The type or form of electronic communication.		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0001	comment	CLUSTER > items/ELEMENT	The DV_CODED_TEXT value set supports recording of the most common electronic communications used in health. If other alternatives are required the DV_TEXT data type can be used to record other types of electronic communication such as social media or video conferencing URLs within a template.		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0002	text	CLUSTER > items/ELEMENT	Value		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0002	description	CLUSTER > items/ELEMENT	The unique combination of alphanumeric characters, relevant for representation of 'Type'.		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0002	comment	CLUSTER > items/ELEMENT	For example: area code + landline phone/pager number; country code + mobile phone number; or email address.		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0003	text	CLUSTER > items/ELEMENT	Purpose		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0003	description	CLUSTER > items/ELEMENT	The purpose or use for the identified type of electronic communication.		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0004	text	CLUSTER > items/ELEMENT	Comment		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0004	description	CLUSTER > items/ELEMENT	Additional narrative about the electronic communication not captured in other fields.		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0005	text		Mobile (cellular) telephone		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0005	description		For SMS or voice calls.		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0006	text		Telephone (excluding mobile telephone)		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0006	description				
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0007	text		Email		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0007	description				
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0008	text		Pager		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0008	description				
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0009	text		Fax		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0009	description				
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0010	text		Business use		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0010	description				
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0011	text		Personal use		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0011	description				
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0012	text		Both business and personal use		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0012	description				
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0013	text	CLUSTER > items/CLUSTER	Additional details		
openEHR-EHR-CLUSTER.electronic_communication.v1	term	at0013	description	CLUSTER > items/CLUSTER	Additional details about the electronic communication.		
