archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.media_file.v1	description	-	purpose		To record a media file that is acquired or used as part of the healthcare process, and details about associated metadata.	医療プロセスの一環として取得または使用するメディアファイルと、関連するメタデータの詳細情報を記録するため。	
openEHR-EHR-CLUSTER.media_file.v1	description	-	use		Use to record a media file that is acquired or used as part of the healthcare process, and details about associated metadata.\n\nThe intent of this archetype is only to hold the media file and the metadata describing its capture. This archetype will be nested within another archetype, usually an OBSERVATION or ACTION that will hold the context and circumstances related to the capture of the media file. For example, details about the modality, view or aspect of a radiographic image and DICOM details will be captured within the OBSERVATION.imaging_exam_result archetype. \n\nExamples include, but are not limited to:\n- A photo of an injury;\n- A diagram of the location of a specific clinical finding;\n- A radiological image;\n- An audio or video recording of an interview;\n- Scanned pathology slide;\n- Data output from a clinical device, such as an ECG machine; or\n- A scanned image of paper documentation or hand-written clinical notes.\n\nThe 'Content' data element allows for the media file to be captured and stored within the health record using the Multimedia data type. The Multimedia data type has many RM attributes such as the size of file and URI to an external source. See https://specifications.openehr.org/releases/RM/latest/data_types.html#_dv_multimedia_class.\n\nIf more than one media file has been captured, such as 'before' and 'after' images of a wound, use a separate instance of this archetype to represent each media file.\n\nIf a series of media files is represented as a single item, such as a CT scan, one instance of this archetype can be used to represent a URI path to the group.	医療プロセスの一環として取得または使用するメディアファイルと、関連するメタデータの詳細情報を記録するために用いる。\n\n本archetypeは、メディアファイルと、その取得に関するメタデータのみを保持することを意図している。本archetypeは他のarchetype（通常は OBSERVATION または ACTION）の中に入れ子にして用い、メディアファイルの取得に関する背景や状況はその親archetypeに記録する。例：放射線画像の撮影法、撮影方向、観察方向の詳細情報や DICOM の詳細情報は、OBSERVATION.imaging_exam_result archetypeに記録する。 \n\n以下のような使用例があるが、これらに限らない。\n- 外傷の写真を記録する。\n- 特定の臨床所見の位置を示す図を記録する。\n- 放射線画像を記録する。\n- 面談の録音や録画を記録する。\n- 病理標本スライドのスキャン画像を記録する。\n- 心電計などの医療機器から出力されたデータを記録する。\n- 紙の文書や手書きの診療記録のスキャン画像を記録する。\n\n「コンテンツ」データエレメントでは、Multimedia データ型を用いてメディアファイルを健康記録に取り込み、保存できる。Multimedia データ型には、ファイルサイズや外部の参照先を示す URI など、多くの参照モデルの属性がある。https://specifications.openehr.org/releases/RM/latest/data_types.html#_dv_multimedia_class を参照。\n\n創傷の「前」と「後」の画像など、複数のメディアファイルを取得した場合は、各ファイルを本archetypeの別々のインスタンスで表す。\n\nCT画像のように一連のメディアファイルを一つの項目として表す場合は、本archetypeの一つのインスタンスを用いて、そのファイル群への URI パスを記録できる。	
openEHR-EHR-CLUSTER.media_file.v1	description	-	misuse		Not to be used to represent information, instructional or educational material supplied to an individual, or their carer, for example patient education leaflets. Use the CLUSTER.information_resource for this purpose.\n\nNot to be used to record a reference to a knowledge base - use CLUSTER.knowledge_base_reference for this purpose.	患者教育用のリーフレットなど、個人やその介護者に提供する情報資料、指導資料、教育資料の記録には、本archetypeではなく CLUSTER.information_resource を用いる。\n\n知識ベースへの参照の記録には、本archetypeではなく CLUSTER.knowledge_base_reference を用いる。	
openEHR-EHR-CLUSTER.media_file.v1	description	-	keywords		image | audio | text | video | application | file | multimedia | audio | DICOM | digital | document | photo | voice	画像 | 音声 | テキスト | 動画 | アプリケーション | ファイル | マルチメディア | 音声 | DICOM | デジタル | 文書 | 写真 | 録音 | メディアファイル	
openEHR-EHR-CLUSTER.media_file.v1	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-CLUSTER.media_file.v1	term	at0000	text	CLUSTER	Media file	メディアファイル	
openEHR-EHR-CLUSTER.media_file.v1	term	at0000	description	CLUSTER	A media file that is acquired or used as part of the healthcare process, and associated metadata.	医療プロセスの一環として取得または使用するメディアファイルと、関連するメタデータ。	
openEHR-EHR-CLUSTER.media_file.v1	term	at0001	text	CLUSTER > items/ELEMENT	Content	コンテンツ	要確認: コンテンツ（他候補: 内容）ファイルの実体を格納する項目であることを示す。
openEHR-EHR-CLUSTER.media_file.v1	term	at0001	description	CLUSTER > items/ELEMENT	Digital representation of the media file.	メディアファイルのデジタル表現。	
openEHR-EHR-CLUSTER.media_file.v1	term	at0001	comment	CLUSTER > items/ELEMENT	If the file is stored locally, the actual content will be captured and stored using the Multimedia data type. For example: RTF or PDF for a document; JPG for an image; MP4 for a video; or WAV for an audio file. Full list of available media types: https://specifications.openehr.org/releases/TERM/latest/SupportTerminology.html#_media_types.  If the file is stored at a location outside of the health record, the detailed path to the file is captured using the URI attribute in the Multimedia data type. The Multimedia data type has many RM attributes such as the size of file and URI to an external source - see https://specifications.openehr.org/releases/RM/latest/data_types.html#_dv_multimedia_class.	ファイルをローカルに保存する場合は、Multimedia データ型を用いてコンテンツの実体を取り込み、保存する。例：文書には RTF または PDF、画像には JPG、動画には MP4、音声ファイルには WAV を用いる。利用可能なメディア種別の一覧は https://specifications.openehr.org/releases/TERM/latest/SupportTerminology.html#_media_types を参照。  ファイルを健康記録の外部に保存する場合は、Multimedia データ型の URI 属性を用いて、ファイルへの詳細なパスを記録する。Multimedia データ型には、ファイルサイズや外部の参照先を示す URI など、多くの参照モデルの属性がある。https://specifications.openehr.org/releases/RM/latest/data_types.html#_dv_multimedia_class を参照。	
