archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.media_file.v1	description	-	purpose		To record a media file that is acquired or used as part of the healthcare process, and details about associated metadata.		
openEHR-EHR-CLUSTER.media_file.v1	description	-	use		Use to record a media file that is acquired or used as part of the healthcare process, and details about associated metadata.\n\nThe intent of this archetype is only to hold the media file and the metadata describing its capture. This archetype will be nested within another archetype, usually an OBSERVATION or ACTION that will hold the context and circumstances related to the capture of the media file. For example, details about the modality, view or aspect of a radiographic image and DICOM details will be captured within the OBSERVATION.imaging_exam_result archetype. \n\nExamples include, but are not limited to:\n- A photo of an injury;\n- A diagram of the location of a specific clinical finding;\n- A radiological image;\n- An audio or video recording of an interview;\n- Scanned pathology slide;\n- Data output from a clinical device, such as an ECG machine; or\n- A scanned image of paper documentation or hand-written clinical notes.\n\nThe 'Content' data element allows for the media file to be captured and stored within the health record using the Multimedia data type. The Multimedia data type has many RM attributes such as the size of file and URI to an external source. See https://specifications.openehr.org/releases/RM/latest/data_types.html#_dv_multimedia_class.\n\nIf more than one media file has been captured, such as 'before' and 'after' images of a wound, use a separate instance of this archetype to represent each media file.\n\nIf a series of media files is represented as a single item, such as a CT scan, one instance of this archetype can be used to represent a URI path to the group.		
openEHR-EHR-CLUSTER.media_file.v1	description	-	misuse		Not to be used to represent information, instructional or educational material supplied to an individual, or their carer, for example patient education leaflets. Use the CLUSTER.information_resource for this purpose.\n\nNot to be used to record a reference to a knowledge base - use CLUSTER.knowledge_base_reference for this purpose.		
openEHR-EHR-CLUSTER.media_file.v1	description	-	keywords		image | audio | text | video | application | file | multimedia | audio | DICOM | digital | document | photo | voice		
openEHR-EHR-CLUSTER.media_file.v1	description	-	copyright		© openEHR Foundation		
openEHR-EHR-CLUSTER.media_file.v1	term	at0000	text	CLUSTER	Media file		
openEHR-EHR-CLUSTER.media_file.v1	term	at0000	description	CLUSTER	A media file that is acquired or used as part of the healthcare process, and associated metadata.		
openEHR-EHR-CLUSTER.media_file.v1	term	at0001	text	CLUSTER > items/ELEMENT	Content		
openEHR-EHR-CLUSTER.media_file.v1	term	at0001	description	CLUSTER > items/ELEMENT	Digital representation of the media file.		
openEHR-EHR-CLUSTER.media_file.v1	term	at0001	comment	CLUSTER > items/ELEMENT	If the file is stored locally, the actual content will be captured and stored using the Multimedia data type. For example: RTF or PDF for a document; JPG for an image; MP4 for a video; or WAV for an audio file. Full list of available media types: https://specifications.openehr.org/releases/TERM/latest/SupportTerminology.html#_media_types.  If the file is stored at a location outside of the health record, the detailed path to the file is captured using the URI attribute in the Multimedia data type. The Multimedia data type has many RM attributes such as the size of file and URI to an external source - see https://specifications.openehr.org/releases/RM/latest/data_types.html#_dv_multimedia_class.		
openEHR-EHR-CLUSTER.media_file.v1	term	at0002	text	CLUSTER > items/ELEMENT	Content name		
openEHR-EHR-CLUSTER.media_file.v1	term	at0002	description	CLUSTER > items/ELEMENT	Descriptive name or title for the media file.		
openEHR-EHR-CLUSTER.media_file.v1	term	at0002	comment	CLUSTER > items/ELEMENT	A description of the content of the media file. Use an agreed standardised naming convention, if available. For example: \"Right hand burn #1\" or \"Cardiology video consultation on May 2\".		
openEHR-EHR-CLUSTER.media_file.v1	term	at0004	text	CLUSTER > items/ELEMENT	Created		
openEHR-EHR-CLUSTER.media_file.v1	term	at0004	description	CLUSTER > items/ELEMENT	The date/time, partial date or period when the media file was generated or authored.		
openEHR-EHR-CLUSTER.media_file.v1	term	at0005	text	CLUSTER > items/ELEMENT	Description		
openEHR-EHR-CLUSTER.media_file.v1	term	at0005	description	CLUSTER > items/ELEMENT	Narrative description about the media file.		
openEHR-EHR-CLUSTER.media_file.v1	term	at0007	text	CLUSTER > items/ELEMENT	Comment		
openEHR-EHR-CLUSTER.media_file.v1	term	at0007	description	CLUSTER > items/ELEMENT	Additional narrative about the media file not captured in other fields.		
openEHR-EHR-CLUSTER.media_file.v1	term	at0010	text	CLUSTER > items/ELEMENT	Identifier		
openEHR-EHR-CLUSTER.media_file.v1	term	at0010	description	CLUSTER > items/ELEMENT	Unique ID for the media file.		
openEHR-EHR-CLUSTER.media_file.v1	term	at0011	text	CLUSTER > items/CLUSTER	Source device		
openEHR-EHR-CLUSTER.media_file.v1	term	at0011	description	CLUSTER > items/CLUSTER	Details about the device used to generate or author the media file.		
openEHR-EHR-CLUSTER.media_file.v1	term	at0011	comment	CLUSTER > items/CLUSTER	For example: the camera used to capture an image.		
openEHR-EHR-CLUSTER.media_file.v1	term	at0012	text	CLUSTER > items/CLUSTER	Creator		
openEHR-EHR-CLUSTER.media_file.v1	term	at0012	description	CLUSTER > items/CLUSTER	Details about the individual or organisation who generated or authored the media file.		
openEHR-EHR-CLUSTER.media_file.v1	term	at0013	text	CLUSTER > items/CLUSTER	Additional details		
openEHR-EHR-CLUSTER.media_file.v1	term	at0013	description	CLUSTER > items/CLUSTER	Additional structured details about the media file.		
