archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.organisation.v1	description	-	purpose		To record details about an organisation as they are known or understood in the course of clinical documentation.	臨床記録の作成に際して取得した、組織に関する詳細情報を記録するため。	
openEHR-EHR-CLUSTER.organisation.v1	description	-	use		Use to record details of an organisation as they are known or understood in the course of clinical documentation, often ad hoc or when it is not appropriate or possible to use a formal demographic register or index. Examples include:\n- the copyholder of an advanced care record, using the 'Copyholder' SLOT within the EVALUATION.advance_care_directive archetype; or\n- the name and contact details of an organisation providing home care to an individual.\n\nThis archetype has been designed to carry details of formally recognised entities, such as a registered business, a hospital and its recognised 'sub-organisations', such as an operationally separate or specialised satellite clinic or home care service. It may also be used to carry contact information about more informal networks or groups, such as a local community support group.\n\nThis archetype could also be used as a proxy for formal demographic data when reviewing a template with domain experts - for example, an assessment where reviewers would expect to see an organisations' details on an assessment form.	臨床記録の作成に際して取得した、組織に関する詳細情報を記録するために用いる。正式な登録簿や公式の一覧によらずに知り得た情報をその場で記録する場合や、正式な登録簿や一覧の利用が適切でない、または利用できない場合を主に想定している。以下のような使用例がある。\n- EVALUATION.advance_care_directive archetypeの「写し保有者」SLOTを用いて、事前ケア記録の写しを保有する組織の情報を記録する。\n- 個人に在宅ケアを提供する組織の名称と連絡先を記録する。\n\n本archetypeは、登録された事業者や病院、病院の正式な「傘下組織」など、正式に認められた組織の詳細情報を記録するために設計されている。傘下組織には、運営上独立した分院や専門分野に特化した分院、在宅ケアサービスなどがある。また、地域の支援団体など、より非公式なネットワークや集団の連絡先情報を記録するためにも使用できる。\n\n本archetypeは、対象領域の専門家とテンプレートをレビューする際に、正式なデモグラフィックデータの代用として使用することもできる。例えば、評価票の冒頭に組織の詳細情報が表示されることをレビュー担当者が想定している場合に、その情報を示すために用いる。	
openEHR-EHR-CLUSTER.organisation.v1	description	-	misuse		Not to be used to represent, replace or maintain an official register or index. Use a formal Health Provider Index for this purpose, or archetypes based on the openEHR Demographic Information Model.\n\nNot to be used to represent the location of care and similar data elements that should be represented formally in the health record using the Reference Model attributes.	公式の登録簿や一覧の表現、代替、または維持・管理に用いてはならない。これらの目的には、正式な「医療従事者名簿（Health Provider Index）」、またはopenEHRデモグラフィック情報モデルに基づくarchetypeを用いること。\n\nケアの実施場所など、参照モデルの属性を用いて健康記録に正式に記録すべき情報を、本archetypeで記録してはならない。	
openEHR-EHR-CLUSTER.organisation.v1	description	-	keywords		organisation, organization, provider, carer, network, group	組織 | 医療提供者 | 介護者 | ネットワーク | 集団	
openEHR-EHR-CLUSTER.organisation.v1	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-CLUSTER.organisation.v1	term	at0000	text	CLUSTER	Organisation	組織	
openEHR-EHR-CLUSTER.organisation.v1	term	at0000	description	CLUSTER	An entity comprising one or more people and having a particular purpose.	1人以上で構成され、特定の目的を持つ組織。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0000	comment	CLUSTER	For example: a company, institution, association, network, department, community group, healthcare practice group, payer/insurer, care team, or a group of neighbours who provide care or support.	例：企業、機関、協会、ネットワーク、診療部門、地域団体、診療グループ、支払機関・保険者、ケアチーム、またはケアや支援を提供する近隣住民の集まり。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0001	text	CLUSTER > items/ELEMENT	Name	名称	
openEHR-EHR-CLUSTER.organisation.v1	term	at0001	description	CLUSTER > items/ELEMENT	The unstructured name or label for the organisation.	組織の名称またはラベル（非構造情報）。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0001	comment	CLUSTER > items/ELEMENT	For example: 'Royal Children's Hospital'; 'ABC District Nursing Service'; 'YNWA Oslo' or 'JB Smith Lawyers'.	例：「Royal Children's Hospital」、「ABC District Nursing Service」、「YNWA Oslo」、または「JB Smith Lawyers」。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0002	text	CLUSTER > items/CLUSTER	Contact person	連絡担当者	
openEHR-EHR-CLUSTER.organisation.v1	term	at0002	description	CLUSTER > items/CLUSTER	Details about one or more people within the organisation.	組織内の1人以上の人に関する詳細情報。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0003	text	CLUSTER > items/ELEMENT	Identifier	識別子	
openEHR-EHR-CLUSTER.organisation.v1	term	at0003	description	CLUSTER > items/ELEMENT	Identifier associated with the organisation.	組織に関連付けられた識別子。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0003	comment	CLUSTER > items/ELEMENT	Occurrences for this data element is set to 0..* to allow for more than one Identifier to be recorded. Note that the ID data type contains multiple subcomponents for recording the ID value, type, issuer and assigner.	このデータエレメントの出現回数は 0..* に設定されており、複数の識別子を記録できる。ID データ型には、ID の値、種類、発行者、割り当て先を記録する複数の下位要素がある点に注意。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0004	text	CLUSTER > items/ELEMENT	Role	役割	
openEHR-EHR-CLUSTER.organisation.v1	term	at0004	description	CLUSTER > items/ELEMENT	The relationship or role of the organisation to the individual or subject of care.	個人またはケア対象者に対する組織の関係または役割。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0004	comment	CLUSTER > items/ELEMENT	For example: oncologist; palliative care home nursing service; or informal support network.	例：腫瘍専門医、緩和ケアの訪問看護サービス、または非公式な支援ネットワーク。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0005	text	CLUSTER > items/CLUSTER	Address	住所	
openEHR-EHR-CLUSTER.organisation.v1	term	at0005	description	CLUSTER > items/CLUSTER	Details about an address for the organisation.	組織の詳細な住所。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0017	text	CLUSTER > items/CLUSTER	Additional details	追加の詳細情報	
openEHR-EHR-CLUSTER.organisation.v1	term	at0017	description	CLUSTER > items/CLUSTER	Additional details about the organisation.	組織に関する追加の詳細情報。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0019	text	CLUSTER > items/ELEMENT	Comment	コメント	
openEHR-EHR-CLUSTER.organisation.v1	term	at0019	description	CLUSTER > items/ELEMENT	Additional narrative about the organisation not captured in other fields.	他の項目には収まらない組織についての追加の記述。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0021	text	CLUSTER > items/CLUSTER	Parent organisation	親組織	
openEHR-EHR-CLUSTER.organisation.v1	term	at0021	description	CLUSTER > items/CLUSTER	A larger organisation of which this organisation is a child or subsidiary.	この組織を傘下組織または子会社として含む、より大きな組織。	
openEHR-EHR-CLUSTER.organisation.v1	term	at0022	text	CLUSTER > items/CLUSTER	Electronic communication	電子的な連絡先	
openEHR-EHR-CLUSTER.organisation.v1	term	at0022	description	CLUSTER > items/CLUSTER	Details about one or more types of electronic communication for the organisation.	組織の電子的な連絡先（1種類以上）の詳細情報。	
