archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.person.v1	description	-	purpose		To record details about a person as they are known or understood in the course of clinical documentation.	臨床記録の過程で把握または理解されたとおりに、人についての詳細を記録するため。	
openEHR-EHR-CLUSTER.person.v1	description	-	use		Use to record details of a person as they are known or understood in the course of clinical documentation, often ad hoc or when it is not appropriate or possible to use a formal demographic register or index. Examples include:\n- the copyholder of an advanced care record, using the 'Copyholder' SLOT within the EVALUATION.advance_care_directive archetype;\n- the role and contact details of a named contact person within an organisation, using the 'Contact person' SLOT within the CLUSTER.organisation archetype;\n- details about a relative in a family history record, using the 'Family member details' SLOT within the openEHR-EHR-EVALUATION.family_history archetype; \n- the name of the person who collected a laboratory specimen from a patient, using the 'Specimen collector details' within the CLUSTER.specimen archetype; or\n- a witness to a fall or accident, using the 'Witness' SLOT within the CLUSTER.health_event archetype.\n\nIn most simple clinical recording use cases, the unstructured 'Name' element within the CLUSTER.person archetype will be sufficient to record the name of a person as part of a health record. However, in circumstances where a structured name is necessary or desirable for clinical recording purposes, nest this archetype within the 'Structured name' SLOT in CLUSTER.person archetype. If the CLUSTER.structured_name archetype is nested within the 'Structured name' SLOT, any or all of the data elements can be combined together as a text string and represented in the 'Name' element, as long as they are consistent.\n\nThis archetype could also be used as a proxy for formal demographic data when reviewing a template with domain experts - for example, an assessment where reviewers would expect to see a person's details at the top of the assessment form.	臨床記録の過程で把握または理解されたとおりに人の詳細を記録するために用いる。多くはその場限りの記録であるか、正式なデモグラフィック登録簿やインデックスを使うことが適切でない、または不可能な場合である。例：\n- EVALUATION.advance_care_directive archetypeの「写し保持者」SLOT を用いた、事前ケア記録の写しの保持者；\n- CLUSTER.organisation archetypeの「連絡担当者」SLOT を用いた、組織内で名前が特定された連絡担当者の役割と連絡先；\n- openEHR-EHR-EVALUATION.family_history archetypeの「家族構成員の詳細」SLOT を用いた、家族歴記録における親族の詳細； \n- CLUSTER.specimen archetypeの「検体採取者の詳細」を用いた、患者から臨床検査の検体を採取した人の氏名；または\n- CLUSTER.health_event archetypeの「目撃者」SLOT を用いた、転倒や事故の目撃者。\n\nほとんどの単純な臨床記録のユースケースでは、CLUSTER.person archetype内の非構造化の「氏名」要素だけで、健康記録の一部として人の氏名を記録するのに十分である。しかし、臨床記録の目的で構造化された氏名が必要または望ましい状況では、本archetypeを CLUSTER.person archetypeの「構造化された氏名」SLOT に入れ子にする。CLUSTER.structured_name archetypeを「構造化された氏名」SLOT に入れ子にした場合、そのデータエレメントの一部またはすべてをテキスト文字列として結合し、「氏名」要素に表すことができる。ただし両者が整合していること。\n\n本archetypeは、領域の専門家とテンプレートをレビューする際に、正式なデモグラフィックデータの代用としても使える。例えば、アセスメント様式の冒頭に人の詳細が表示されることをレビュー担当者が期待するようなアセスメントである。	要確認: 未訳 archetype のスロット名は仮訳（Copyholder＝写し保持者、Contact person＝連絡担当者、Family member details＝家族構成員の詳細、Specimen collector details＝検体採取者の詳細、Witness＝目撃者）。該当 archetype の翻訳時に揃える。demographic register/index＝デモグラフィック登録簿／インデックス
openEHR-EHR-CLUSTER.person.v1	description	-	misuse		Not to be used to represent or replace formal identification management or for the purposes of maintaining an official demographic register or index. Use a formal Master Patient Index or Health Provider Index for this purpose, or archetypes based on the openEHR Demographic Information Model.\n\nNot to be used to represent the subject of care, participants or author of the record and similar data elements that should be represented formally in the health record using the Reference Model attributes.\n\nNot to be used to record the date of birth of an individual - use the 'Date of birth' data element within the EVALUATION.birth_summary for this purpose\n\nNot to be used to record biometric detail or biomarkers about an individual - use a specific ENTRY archetype for this purpose.	正式な識別管理を表したり置き換えたりするため、あるいは公式のデモグラフィック登録簿やインデックスを維持する目的で用いてはならない。その目的には正式な患者マスターインデックス（MPI）や医療従事者インデックス、または openEHR デモグラフィック情報モデルに基づくarchetypeを用いること。\n\nケア対象者、参加者、記録の作成者など、参照モデルの属性を用いて健康記録に正式に表すべきデータエレメントを表すために用いてはならない。\n\n個人の生年月日を記録するために用いてはならない。その目的には EVALUATION.birth_summary 内の「生年月日」データエレメントを用いること\n\n個人の生体認証情報やバイオマーカーを記録するために用いてはならない。その目的には専用の ENTRY archetypeを用いること。	要確認: Master Patient Index＝患者マスターインデックス（MPI）、Health Provider Index＝医療従事者インデックス、Demographic Information Model＝デモグラフィック情報モデル、biometric detail＝生体認証情報
openEHR-EHR-CLUSTER.person.v1	description	-	keywords		provider, carer, staff, healthcare professional, relative, next-of-kin, practitioner, witness, friend, neighbour, child, family, sibling, parent, individual	医療提供者 | 介護者 | 職員 | 医療従事者 | 親族 | 近親者 | 医師 | 目撃者 | 友人 | 隣人 | 子 | 家族 | きょうだい | 親 | 個人 | 人 | 氏名 | 連絡先	要確認: 原文はカンマ区切りの 1 語だが、CKM 検索用に語ごとに分けた。practitioner→医師、next-of-kin→近親者、sibling→きょうだい。「人」「氏名」「連絡先」を追加
openEHR-EHR-CLUSTER.person.v1	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-CLUSTER.person.v1	term	at0000	text	CLUSTER	Person	人	要確認: 概念名「人」を採用（targets.tsv の案。他候補: 個人、人物）。MML4 の「個人情報形式（PersonalizedInfo）」は個人だが、本 archetype は subject 以外の人一般を指すので「人」
openEHR-EHR-CLUSTER.person.v1	term	at0000	description	CLUSTER	An individual human being.	一人の人間。	
openEHR-EHR-CLUSTER.person.v1	term	at0001	text	CLUSTER > items/ELEMENT	Name	氏名	要確認: Name＝「氏名」（MML4 人名表現形式／個人情報形式の「氏名」に合わせた。他候補: 名前）
openEHR-EHR-CLUSTER.person.v1	term	at0001	description	CLUSTER > items/ELEMENT	The unstructured name for the individual.	その人の非構造化の氏名。	
openEHR-EHR-CLUSTER.person.v1	term	at0001	comment	CLUSTER > items/ELEMENT	The content of this data element may be derived from one or more components from CLUSTER.structured_name combined together as a text string. For example: 'John Markham', 'Professor Sir John Markham', 'John Markham Jnr MP'.	このデータエレメントの内容は、CLUSTER.structured_name の1つ以上の構成要素をテキスト文字列として結合して導いてもよい。例：「John Markham」、「Professor Sir John Markham」、「John Markham Jnr MP」。	
openEHR-EHR-CLUSTER.person.v1	term	at0002	text	CLUSTER > items/CLUSTER	Structured name	構造化された氏名	要確認: 「構造化された氏名」（用語集 structured …＝構造化された…）。CLUSTER.structured_name の概念名は #8 で確定
openEHR-EHR-CLUSTER.person.v1	term	at0002	description	CLUSTER > items/CLUSTER	Alternative representation of an individual's complete name by separation into discrete, structured components.	その人の完全な氏名を、個別の構造化された構成要素に分けて表す代替の表現。	
openEHR-EHR-CLUSTER.person.v1	term	at0002	comment	CLUSTER > items/CLUSTER	Any or all of the structured name elements can be combined together as a text string and represented in the 'Name' data element in this archetype.	構造化された氏名の要素の一部またはすべてをテキスト文字列として結合し、本archetypeの「氏名」データエレメントに表すことができる。	
openEHR-EHR-CLUSTER.person.v1	term	at0003	text	CLUSTER > items/ELEMENT	Identifier	識別子	要確認: Identifier＝「識別子」（用語集 order identifier＝オーダー識別子 に合わせた。MML4 の Id 形式は「ID」）
openEHR-EHR-CLUSTER.person.v1	term	at0003	description	CLUSTER > items/ELEMENT	Identifier associated with the individual.	その人に関連付けられた識別子。	
openEHR-EHR-CLUSTER.person.v1	term	at0003	comment	CLUSTER > items/ELEMENT	Occurrences for this data element is set to 0..* to allow for more than one Identifier to be recorded. Note that the DV_IDENTIFIER data type contains multiple subcomponents for recording the ID value, type, issuer and assigned. For example - social security number; driver's license; or passport number.	このデータエレメントの出現回数は 0..* に設定されており、複数の識別子を記録できる。DV_IDENTIFIER データ型には、ID の値、種類、発行者、割り当て先を記録する複数の下位要素がある点に注意。例：社会保障番号；運転免許証；またはパスポート番号。	
openEHR-EHR-CLUSTER.person.v1	term	at0004	text	CLUSTER > items/ELEMENT	Role	役割	要確認: Role＝「役割」（他候補: 続柄・役割、関係）。description は「関係または役割」
openEHR-EHR-CLUSTER.person.v1	term	at0004	description	CLUSTER > items/ELEMENT	The relationship or role of the individual to the subject of the health record.	健康記録の対象者に対するその人の関係または役割。	
openEHR-EHR-CLUSTER.person.v1	term	at0004	comment	CLUSTER > items/ELEMENT	For example - the copyholder of an advance care record; contact person in an organisation; relative in a family history entry; specimen collector; or witness to a fall or accident. If the individual being described using this archetype is the subject of the health record, then this data element is redundant.	例：事前ケア記録の写し保持者；組織の連絡担当者；家族歴の項目における親族；検体採取者；または転倒や事故の目撃者。本archetypeで記述する人が健康記録の対象者自身である場合、このデータエレメントは冗長になる。	
openEHR-EHR-CLUSTER.person.v1	term	at0005	text	CLUSTER > items/CLUSTER	Address	住所	
openEHR-EHR-CLUSTER.person.v1	term	at0005	description	CLUSTER > items/CLUSTER	Details about an address for the individual.	その人の住所についての詳細。	
openEHR-EHR-CLUSTER.person.v1	term	at0006	text	CLUSTER > items/CLUSTER	Electronic communication	電子的連絡先	要確認: Electronic communication＝「電子的連絡先」（targets.tsv #10 の案。MML4 では電子メールアドレス・電話番号）
openEHR-EHR-CLUSTER.person.v1	term	at0006	description	CLUSTER > items/CLUSTER	Details about one or more types of electronic communication for the individual.	その人の1つ以上の種類の電子的連絡先についての詳細。	
openEHR-EHR-CLUSTER.person.v1	term	at0007	text	CLUSTER > items/CLUSTER	Organisation	組織	要確認: Organisation（スロット）＝「組織」（用語集 organisation＝医療機関/組織/部門。ここは医療機関に限らないので「組織」。MML4 の施設情報形式＝施設 は organisation.v1 で検討）
openEHR-EHR-CLUSTER.person.v1	term	at0007	description	CLUSTER > items/CLUSTER	Details about the organisational context for the individual.	その人の組織上の文脈についての詳細。	
openEHR-EHR-CLUSTER.person.v1	term	at0007	comment	CLUSTER > items/CLUSTER	For example: identifying the business or community organisation associated with the 'Role' of the individual.	例：その人の「役割」に関連する事業組織や地域組織の特定。	
openEHR-EHR-CLUSTER.person.v1	term	at0008	text	CLUSTER > items/CLUSTER	Additional details	追加の詳細	
openEHR-EHR-CLUSTER.person.v1	term	at0008	description	CLUSTER > items/CLUSTER	Additional details about the individual.	その人についての追加の詳細。	
openEHR-EHR-CLUSTER.person.v1	term	at0009	text	CLUSTER > items/CLUSTER	Photo	写真	
openEHR-EHR-CLUSTER.person.v1	term	at0009	description	CLUSTER > items/CLUSTER	Photograph of the individual.	その人の写真。	
openEHR-EHR-CLUSTER.person.v1	term	at0010	text	CLUSTER > items/ELEMENT	Comment	コメント	
openEHR-EHR-CLUSTER.person.v1	term	at0010	description	CLUSTER > items/ELEMENT	Additional narrative about the individual not captured in other fields.	他の項目では捉えられない、その人についての追加の記述。	
openEHR-EHR-CLUSTER.person.v1	term	at0011	text	CLUSTER > items/ELEMENT	Label	ラベル	要確認: Label＝「ラベル」
openEHR-EHR-CLUSTER.person.v1	term	at0011	description	CLUSTER > items/ELEMENT	A label for the individual.	その人に付けるラベル。	
