archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.person.v1	description	-	purpose		To record details about a person as they are known or understood in the course of clinical documentation.		
openEHR-EHR-CLUSTER.person.v1	description	-	use		Use to record details of a person as they are known or understood in the course of clinical documentation, often ad hoc or when it is not appropriate or possible to use a formal demographic register or index. Examples include:\n- the copyholder of an advanced care record, using the 'Copyholder' SLOT within the EVALUATION.advance_care_directive archetype;\n- the role and contact details of a named contact person within an organisation, using the 'Contact person' SLOT within the CLUSTER.organisation archetype;\n- details about a relative in a family history record, using the 'Family member details' SLOT within the openEHR-EHR-EVALUATION.family_history archetype; \n- the name of the person who collected a laboratory specimen from a patient, using the 'Specimen collector details' within the CLUSTER.specimen archetype; or\n- a witness to a fall or accident, using the 'Witness' SLOT within the CLUSTER.health_event archetype.\n\nIn most simple clinical recording use cases, the unstructured 'Name' element within the CLUSTER.person archetype will be sufficient to record the name of a person as part of a health record. However, in circumstances where a structured name is necessary or desirable for clinical recording purposes, nest this archetype within the 'Structured name' SLOT in CLUSTER.person archetype. If the CLUSTER.structured_name archetype is nested within the 'Structured name' SLOT, any or all of the data elements can be combined together as a text string and represented in the 'Name' element, as long as they are consistent.\n\nThis archetype could also be used as a proxy for formal demographic data when reviewing a template with domain experts - for example, an assessment where reviewers would expect to see a person's details at the top of the assessment form.		
openEHR-EHR-CLUSTER.person.v1	description	-	misuse		Not to be used to represent or replace formal identification management or for the purposes of maintaining an official demographic register or index. Use a formal Master Patient Index or Health Provider Index for this purpose, or archetypes based on the openEHR Demographic Information Model.\n\nNot to be used to represent the subject of care, participants or author of the record and similar data elements that should be represented formally in the health record using the Reference Model attributes.\n\nNot to be used to record the date of birth of an individual - use the 'Date of birth' data element within the EVALUATION.birth_summary for this purpose\n\nNot to be used to record biometric detail or biomarkers about an individual - use a specific ENTRY archetype for this purpose.		
openEHR-EHR-CLUSTER.person.v1	description	-	keywords		provider, carer, staff, healthcare professional, relative, next-of-kin, practitioner, witness, friend, neighbour, child, family, sibling, parent, individual		
openEHR-EHR-CLUSTER.person.v1	description	-	copyright		© openEHR Foundation		
openEHR-EHR-CLUSTER.person.v1	term	at0000	text	CLUSTER	Person		
openEHR-EHR-CLUSTER.person.v1	term	at0000	description	CLUSTER	An individual human being.		
openEHR-EHR-CLUSTER.person.v1	term	at0001	text	CLUSTER > items/ELEMENT	Name		
openEHR-EHR-CLUSTER.person.v1	term	at0001	description	CLUSTER > items/ELEMENT	The unstructured name for the individual.		
openEHR-EHR-CLUSTER.person.v1	term	at0001	comment	CLUSTER > items/ELEMENT	The content of this data element may be derived from one or more components from CLUSTER.structured_name combined together as a text string. For example: 'John Markham', 'Professor Sir John Markham', 'John Markham Jnr MP'.		
openEHR-EHR-CLUSTER.person.v1	term	at0002	text	CLUSTER > items/CLUSTER	Structured name		
openEHR-EHR-CLUSTER.person.v1	term	at0002	description	CLUSTER > items/CLUSTER	Alternative representation of an individual's complete name by separation into discrete, structured components.		
openEHR-EHR-CLUSTER.person.v1	term	at0002	comment	CLUSTER > items/CLUSTER	Any or all of the structured name elements can be combined together as a text string and represented in the 'Name' data element in this archetype.		
openEHR-EHR-CLUSTER.person.v1	term	at0003	text	CLUSTER > items/ELEMENT	Identifier		
openEHR-EHR-CLUSTER.person.v1	term	at0003	description	CLUSTER > items/ELEMENT	Identifier associated with the individual.		
openEHR-EHR-CLUSTER.person.v1	term	at0003	comment	CLUSTER > items/ELEMENT	Occurrences for this data element is set to 0..* to allow for more than one Identifier to be recorded. Note that the DV_IDENTIFIER data type contains multiple subcomponents for recording the ID value, type, issuer and assigned. For example - social security number; driver's license; or passport number.		
openEHR-EHR-CLUSTER.person.v1	term	at0004	text	CLUSTER > items/ELEMENT	Role		
openEHR-EHR-CLUSTER.person.v1	term	at0004	description	CLUSTER > items/ELEMENT	The relationship or role of the individual to the subject of the health record.		
openEHR-EHR-CLUSTER.person.v1	term	at0004	comment	CLUSTER > items/ELEMENT	For example - the copyholder of an advance care record; contact person in an organisation; relative in a family history entry; specimen collector; or witness to a fall or accident. If the individual being described using this archetype is the subject of the health record, then this data element is redundant.		
openEHR-EHR-CLUSTER.person.v1	term	at0005	text	CLUSTER > items/CLUSTER	Address		
openEHR-EHR-CLUSTER.person.v1	term	at0005	description	CLUSTER > items/CLUSTER	Details about an address for the individual.		
openEHR-EHR-CLUSTER.person.v1	term	at0006	text	CLUSTER > items/CLUSTER	Electronic communication		
openEHR-EHR-CLUSTER.person.v1	term	at0006	description	CLUSTER > items/CLUSTER	Details about one or more types of electronic communication for the individual.		
openEHR-EHR-CLUSTER.person.v1	term	at0007	text	CLUSTER > items/CLUSTER	Organisation		
openEHR-EHR-CLUSTER.person.v1	term	at0007	description	CLUSTER > items/CLUSTER	Details about the organisational context for the individual.		
openEHR-EHR-CLUSTER.person.v1	term	at0007	comment	CLUSTER > items/CLUSTER	For example: identifying the business or community organisation associated with the 'Role' of the individual.		
openEHR-EHR-CLUSTER.person.v1	term	at0008	text	CLUSTER > items/CLUSTER	Additional details		
openEHR-EHR-CLUSTER.person.v1	term	at0008	description	CLUSTER > items/CLUSTER	Additional details about the individual.		
openEHR-EHR-CLUSTER.person.v1	term	at0009	text	CLUSTER > items/CLUSTER	Photo		
openEHR-EHR-CLUSTER.person.v1	term	at0009	description	CLUSTER > items/CLUSTER	Photograph of the individual.		
openEHR-EHR-CLUSTER.person.v1	term	at0010	text	CLUSTER > items/ELEMENT	Comment		
openEHR-EHR-CLUSTER.person.v1	term	at0010	description	CLUSTER > items/ELEMENT	Additional narrative about the individual not captured in other fields.		
openEHR-EHR-CLUSTER.person.v1	term	at0011	text	CLUSTER > items/ELEMENT	Label		
openEHR-EHR-CLUSTER.person.v1	term	at0011	description	CLUSTER > items/ELEMENT	A label for the individual.		
openEHR-EHR-CLUSTER.person.v1	term	at0011	comment	CLUSTER > items/ELEMENT	For example: 'Neighbour in the house with the red door'.		
