archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.problem_qualifier.v2	description	-	purpose		To record a clinical context-specific or time-specific qualifier for a specified problem or diagnosis.		
openEHR-EHR-CLUSTER.problem_qualifier.v2	description	-	use		Use to record a relevant context-specific or time-specific qualifier that provides additional detail which is relevant at the time of recording or within the clinical context where a problem or diagnosis is recorded. The qualifier may not be appropriate at another time or in another clinical context. \n\nThis archetype is designed to be included in Status SLOT in the EVALUATION.problem_diagnosis archetype. The intent is for the EVALUATION.problem_diagnosis archetype to hold all of the information that applies in all contexts, in contrast to this archetype describing only information that depends on the context of use.\n\nIMPORTANT NOTES FOR IMPLEMENTATION: \n- It is not intended or implied that any or all of these qualifiers should be used within the same context or period of time. In contrast to the usual design of archetypes, this archetype has been deliberately designed to collect a number of common qualifiers into one place in an effort to attempt some simple standardisation within a very messy area of clinical practice. It is acknowledged that the data elements contained in this archetype embrace many different, and sometimes even competing, concepts. This has been done mainly to prevent the need for multiple qualifier archetypes, each containing only one or two data elements. \n- Some of these data elements are potentially directly conflicting if used simultaneously within the same context, for example it would not make sense to have an 'inactive' problem together with an Episode that is 'ongoing'. As such, these status qualifiers should be used with extreme care as they are variably applied in practice and interoperability cannot be assured unless usage guidelines are clearly defined within the clinical community in which the 'Problem/Diagnosis' and 'Problem/Diagnosis qualifier' archetype pair may be shared. \n\nFull DRG coding will require the DRG-related data elements from this archetype in combination with data elements from other archetypes.		
openEHR-EHR-CLUSTER.problem_qualifier.v2	description	-	misuse		Not to be used to represent a differential diagnosis - use the archetype EVALUATION.differential_diagnosis for this purpose.\n\nNot to be used to represent diagnostic certainty - use the 'Diagnostic certainty' data element within the EVALUATION.problem_diagnosis archetype.		
openEHR-EHR-CLUSTER.problem_qualifier.v2	description	-	keywords		problem | active | inactive | status | episode | diagnosis		
openEHR-EHR-CLUSTER.problem_qualifier.v2	description	-	copyright		© openEHR Foundation		
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0000	text	CLUSTER	Problem/Diagnosis qualifier		
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0000	description	CLUSTER	Contextual or temporal qualifier for a specified problem or diagnosis.		
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0001	text	CLUSTER > items/ELEMENT	Episodicity		
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0001	description	CLUSTER > items/ELEMENT	Category of this episode for the identified problem/diagnosis.		
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0001	comment	CLUSTER > items/ELEMENT	For example: 'New' will enable clinicians to distinguish a new, acute episode of otitis media that may have arisen soon after a previous diagnosis, to distinguish it from an unresolved or 'Ongoing' diagnosis of chronic otitis media. Treatment of recurring, new and acute, episodes of a condition may differ significantly from the same condition that is not resolving or responding to treatment. In many situations the clinician will not be able to tell, and so indeterminate may be appropriate.		
