archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.structured_name.v1	description	-	purpose		To record details about the structured name of an individual as they are known or understood in the course of clinical documentation.	臨床記録の過程で把握または理解されたとおりに、個人の構造化された氏名の詳細を記録するため。	
openEHR-EHR-CLUSTER.structured_name.v1	description	-	use		Use to record details about the structured name of an individual as they are known or understood in the course of clinical documentation, often ad hoc or when it is not appropriate or possible to use a formal demographic register or index.\n\nIn most simple clinical recording use cases, the unstructured 'Name' element within the CLUSTER.person archetype will be sufficient to record the name of an individual as part of a health record. However, in circumstances where a structured name is necessary or desirable for clinical recording purposes, nest this archetype within the 'Structured name' SLOT in CLUSTER.person archetype.\n\nEach data element can be entered as a string of free text - for example, 'Prof Dr', 'Sonja Jane', 'Smith-Brown', 'MP'. Alternatively, as each data element is repeatable within a template:\n- 'Title' could be cloned to 'Title 1' for the value 'Prof' and 'Title 2' for the value 'Dr'; and\n-  'Given name' could be cloned and renamed to 'First name' for the value 'Sonja' and 'Middle name' for the value 'Jane'.\n\nWhile this archetype has been aligned with ISO 22220, preferred name, name usage, valid dates and the repeating Name component/Order grouping has intentionally not been replicated due to the reduced scope of this archetype.\n\nIt is anticipated that in most use cases for which this archetype has been designed, complex family names will simply be recorded as a string. However, it is possible to record them with more granularity and within this structured name pattern using guidance and examples from ISO 22220:2007 (Annex F), including:\n- Family name first, given name/s last;\n- Family names with prefixes eg El Haddad or van der Heyden; and\n- Names containing both father's and mother's family names.	臨床記録の過程で把握または理解されたとおりに個人の構造化された氏名の詳細を記録するために用いる。多くはその場限りの記録であるか、正式なデモグラフィック登録簿やインデックスを使うことが適切でない、または不可能な場合である。\n\nほとんどの単純な臨床記録のユースケースでは、CLUSTER.person archetype内の非構造化の「氏名」要素だけで、健康記録の一部として個人の氏名を記録するのに十分である。しかし、臨床記録の目的で構造化された氏名が必要または望ましい状況では、本archetypeを CLUSTER.person archetypeの「構造化された氏名」SLOT に入れ子にする。\n\n各データエレメントには自由記述の文字列を入力できる。例：「Prof Dr」、「Sonja Jane」、「Smith-Brown」、「MP」。あるいは、各データエレメントはテンプレート内で繰り返せるので：\n- 「敬称」を複製して、値「Prof」用の「敬称 1」と値「Dr」用の「敬称 2」にできる；および\n-  「名」を複製して名前を変え、値「Sonja」用の「ファーストネーム」と値「Jane」用の「ミドルネーム」にできる。\n\n本archetypeは ISO 22220 に合わせているが、通称（preferred name）、氏名の用途、有効期間、および繰り返しの氏名構成要素／順序のグループ化は、本archetypeの範囲を限定するため意図的に再現していない。\n\n本archetypeが設計されたほとんどのユースケースでは、複雑な姓は単に文字列として記録されると想定している。しかし、ISO 22220:2007（Annex F）の指針と例に従い、この構造化された氏名のパターンの中でより細かく記録することもできる。例：\n- 姓を先、名を後に置く；\n- El Haddad や van der Heyden のような接頭辞付きの姓；および\n- 父方と母方の両方の姓を含む氏名。	要確認: preferred name＝通称、name usage＝氏名の用途、First name／Middle name＝ファーストネーム／ミドルネーム（MML4 middle＝ミドルネーム）
openEHR-EHR-CLUSTER.structured_name.v1	description	-	misuse		Not to be used if an unstructured text string representing the individual's name is adequate for the purpose. Use the 'Name' data element within the CLUSTER.person for this purpose.\n\nNot to be used for complex name representation or management, such as preferred names, name usage or valid dates of usage. Use a formal Master Patient Index or Health Provider Index for this purpose, or archetypes based on the openEHR Demographic Information Model.\n\nNot to be used to represent or replace formal identification management or for the purposes of maintaining an official demographic register or index. Use a formal Master Patient Index or Health Provider Index for this purpose, or archetypes based on the openEHR Demographic Information Model.\n\nNot to be used to represent the subject of care, participants or author of the record and similar data elements that should be represented formally in the health record using the Reference Model attributes.	個人の氏名を表す非構造化のテキスト文字列で目的に足りる場合には用いてはならない。その目的には CLUSTER.person 内の「氏名」データエレメントを用いること。\n\n通称、氏名の用途、使用の有効期間のような複雑な氏名の表現や管理のために用いてはならない。その目的には正式な患者マスターインデックス（MPI）や医療従事者インデックス、または openEHR デモグラフィック情報モデルに基づくarchetypeを用いること。\n\n正式な識別管理を表したり置き換えたりするため、あるいは公式のデモグラフィック登録簿やインデックスを維持する目的で用いてはならない。その目的には正式な患者マスターインデックス（MPI）や医療従事者インデックス、または openEHR デモグラフィック情報モデルに基づくarchetypeを用いること。\n\nケア対象者、参加者、記録の作成者など、参照モデルの属性を用いて健康記録に正式に表すべきデータエレメントを表すために用いてはならない。	
openEHR-EHR-CLUSTER.structured_name.v1	description	-	keywords		person, individual, name	人 | 個人 | 氏名 | 姓 | 名 | 構造化された氏名 | ふりがな	要確認: 原文 3 語（person, individual, name）に「姓」「名」「構造化された氏名」「ふりがな」を追加（CKM 検索用）
openEHR-EHR-CLUSTER.structured_name.v1	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-CLUSTER.structured_name.v1	term	at0000	text	CLUSTER	Structured name of a person	人の構造化された氏名	要確認: 概念名「人の構造化された氏名」を採用（用語集 structured name＝構造化された氏名、person＝人。他候補: 構造化氏名（targets.tsv の案）、構造化された人名）
openEHR-EHR-CLUSTER.structured_name.v1	term	at0000	description	CLUSTER	Discrete components of an individual's name.	個人の氏名の個別の構成要素。	
openEHR-EHR-CLUSTER.structured_name.v1	term	at0001	text	CLUSTER > items/ELEMENT	Title	敬称	要確認: Title＝「敬称」を採用（MML4 人名表現形式 prefix＝肩書き。他候補: 肩書き、称号）。Ms / Mx を含むので「敬称」
openEHR-EHR-CLUSTER.structured_name.v1	term	at0001	description	CLUSTER > items/ELEMENT	One or more honorific form(s) of address commencing a name.	氏名の先頭に置く1つ以上の敬称や肩書き。	
openEHR-EHR-CLUSTER.structured_name.v1	term	at0001	comment	CLUSTER > items/ELEMENT	Occurrences for this data element are set to 0..* to allow for more than one Title to be recorded. Coding with an external terminology is preferred, where possible. For example: 'Doctor'; 'Ms'; 'Mx'; or 'Professor Dr'.	このデータエレメントの出現回数は 0..* に設定されており、複数の敬称を記録できる。可能であれば、外部用語集によりコード化することが望ましい。例：「Doctor」；「Ms」；「Mx」；または「Professor Dr」。	
