archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.symptom_sign.v2	description	-	purpose		To record details about a single episode of a reported symptom or sign including context, but not details, of previous episodes if appropriate.	報告された症状または徴候の単一のエピソードについて、必要に応じて過去のエピソードの文脈（詳細ではない）を含めて、詳細を記録するため。	
openEHR-EHR-CLUSTER.symptom_sign.v2	description	-	use		Use to record details about a single episode of a symptom or reported sign in an individual, as reported by the individual, parent, care-giver or other party. It may be recorded by a clinician as part of a clinical history record as reported to them, observed by the clinician or self-recorded as part of a clinical questionnaire or personal health record. A complete clinical history or patient story may include varying level of details about multiple episodes of an identified symptom or reported sign, as well as multiple symptoms/signs.\n\nThis archetype has been designed to record the positive presence of the symptom or sign as part of history taking using OBSERVATION.story, or in conjunction with a positive response to OBSERVATION.symptom_sign_screening.\n\nIn the purest sense, symptoms are subjective observations of a physical or mental disturbance and signs are objective observations of the same, as experienced by an individual and reported to the history taker by the same individual or another party. From this logic it follows that we will need two archetypes to record clinical history - one for reported symptoms and another for reported signs. In reality this is impractical as it will require clinical data entry into either one of these models which adds signficant overheads to modellers and those entering data. In addition, there is often overlap in clinical concepts - for example, is previous vomiting or bleeding to be categorised as a symptom or reported sign? In response, this archetype has been specifically designed to provide a single information model that allows for recording of the entire continuum between clearly identifiable symptoms and reported signs.\n\nThis archetype has been intended to be used as a generic pattern for all symptoms and reported signs. The 'Specific details' SLOT can be used to extend the archetype to include additional, specific data elements for more complex symptoms or signs. \n\nThis archetype has been specifically designed to be used in the 'Structured detail' SLOT within the OBSERVATION.story archetype, but can also be used within other OBSERVATION or CLUSTER archetypes and in the 'Associated symptom/sign' or 'Previous episode' SLOT within other instances of this CLUSTER.symptom_sign archetype.	本人、親、介護者、またはその他の関係者から報告された、ある個人における症状または報告された徴候の単一のエピソードの詳細を記録するために用いる。臨床医が報告を受けた病歴の記録の一部として記録することも、臨床医が観察することも、臨床質問票や個人健康記録の一部として本人が自ら記録することもある。完全な病歴や患者の語りには、特定された症状や報告された徴候の複数のエピソードについてさまざまな水準の詳細が含まれることがあり、複数の症状・徴候が含まれることもある。\n\n本archetypeは、OBSERVATION.story を用いた病歴聴取の一部として、または OBSERVATION.symptom_sign_screening での陽性回答と組み合わせて、症状または徴候が存在することを記録するために設計されている。\n\n最も純粋な意味では、症状とは身体的または精神的な変調についての主観的な観察であり、徴候とは同じものについての客観的な観察であって、いずれも本人が経験し、本人または別の関係者から病歴聴取者に報告されるものである。この論理に従えば、病歴を記録するには、報告された症状用と報告された徴候用の2つのarchetypeが必要になる。実際にはこれは非現実的である。臨床データをどちらか一方のモデルに入力する必要が生じ、モデル作成者とデータ入力者に大きな負担を加えるからである。加えて、臨床概念には重なりが多い。例えば、過去の嘔吐や出血は症状と報告された徴候のどちらに分類すべきだろうか。そこで本archetypeは、明確に識別できる症状と報告された徴候の間の連続体全体を記録できる単一の情報モデルを提供するよう、特に設計されている。\n\n本archetypeは、すべての症状と報告された徴候に対する汎用パターンとして使うことを意図している。「詳細記録」SLOT を用いて、より複雑な症状や徴候のための追加の特定データエレメントを含めるようarchetypeを拡張できる。 \n\n本archetypeは、OBSERVATION.story archetype内の「構造化された詳細記録」SLOT で使うために特に設計されているが、他の OBSERVATION や CLUSTER のarchetype内でも、また本 CLUSTER.symptom_sign archetypeの他のインスタンス内の「随伴症状・徴候」または「過去のエピソード」SLOT でも使用できる。	
openEHR-EHR-CLUSTER.symptom_sign.v2	description	-	misuse		Not to be used to record screening questionnaire responses about the presence or absence of specific symptoms - use the OBSERVATION.symptom_sign_screening archetype for this purpose. However, this CLUSTER.symptom_sign archetype may be nested within the 'Screening details' SLOT in the OBSERVATION.symptom_sign_screening archetype if it is necessary to extend the questionnaire by recording details about symptom or sign.\n\nNot to be used to record that a symptom or sign was explicitly reported as not present - use CLUSTER.exclusion_symptom_sign carefully for specific purposes where the overheads of recording in this way warrant the additional complexity.\n\nNot to be used for recording objective findings as part of a physical examination - use OBSERVATION.exam and related examination CLUSTER archetypes for this purpose.\n\nNot to be used for diagnoses and problems that form part of a persisting Problem List - use EVALUATION.problem_diagnosis.\n\nNot to be used to record a formal and repeatable severity scale such as VAS or NRS. Use appropriate OBSERVATION archetypes for this purpose.	特定の症状の有無についてのスクリーニング質問票の回答を記録するために用いてはならない。その目的には OBSERVATION.symptom_sign_screening archetypeを用いること。ただし、症状や徴候の詳細を記録して質問票を拡張する必要がある場合は、本 CLUSTER.symptom_sign archetypeを OBSERVATION.symptom_sign_screening archetypeの「スクリーニングの詳細」SLOT に入れ子にしてもよい。\n\n症状や徴候が存在しないと明示的に報告されたことを記録するために用いてはならない。このような記録の負担に見合う追加の複雑さが正当化される特定の目的に限り、CLUSTER.exclusion_symptom_sign を慎重に用いること。\n\n身体診察の一部としての客観的所見を記録するために用いてはならない。その目的には OBSERVATION.exam と関連する診察の CLUSTER archetype群を用いること。\n\n永続的なプロブレムリストの一部をなす診断やプロブレムのために用いてはならない。EVALUATION.problem_diagnosis を用いること。\n\nVAS や NRS のような正式で反復可能な重症度スケールを記録するために用いてはならない。その目的には適切な OBSERVATION archetypeを用いること。	
openEHR-EHR-CLUSTER.symptom_sign.v2	description	-	keywords		complaint | symptom | disturbance | problem | discomfort | presenting complaint | presenting symptom | sign	訴え | 症状 | 変調 | プロブレム | 不快 | 主訴 | 受診時の症状 | 徴候 | 症候 | 自覚症状	要確認: disturbance→「変調」、discomfort→「不快」、presenting symptom→「受診時の症状」。原文 8 語に「症候」「自覚症状」を追加
openEHR-EHR-CLUSTER.symptom_sign.v2	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0000	text	CLUSTER	Symptom/Sign	症状・徴候	
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0000	description	CLUSTER	Reported observation of a physical or mental disturbance in an individual.	ある個人における身体的または精神的な変調についての、報告された観察。	
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0001	text	CLUSTER > items/ELEMENT	Symptom/Sign name	症状・徴候の名称	
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0001	description	CLUSTER > items/ELEMENT	The name of the reported symptom or sign.	報告された症状または徴候の名称。	
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0001	comment	CLUSTER > items/ELEMENT	Symptom name should be coded with a terminology, where possible.	可能であれば、症状の名称は用語集によりコード化すべきである。	
