archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.symptom_sign.v2	description	-	purpose		To record details about a single episode of a reported symptom or sign including context, but not details, of previous episodes if appropriate.		
openEHR-EHR-CLUSTER.symptom_sign.v2	description	-	use		Use to record details about a single episode of a symptom or reported sign in an individual, as reported by the individual, parent, care-giver or other party. It may be recorded by a clinician as part of a clinical history record as reported to them, observed by the clinician or self-recorded as part of a clinical questionnaire or personal health record. A complete clinical history or patient story may include varying level of details about multiple episodes of an identified symptom or reported sign, as well as multiple symptoms/signs.\n\nThis archetype has been designed to record the positive presence of the symptom or sign as part of history taking using OBSERVATION.story, or in conjunction with a positive response to OBSERVATION.symptom_sign_screening.\n\nIn the purest sense, symptoms are subjective observations of a physical or mental disturbance and signs are objective observations of the same, as experienced by an individual and reported to the history taker by the same individual or another party. From this logic it follows that we will need two archetypes to record clinical history - one for reported symptoms and another for reported signs. In reality this is impractical as it will require clinical data entry into either one of these models which adds signficant overheads to modellers and those entering data. In addition, there is often overlap in clinical concepts - for example, is previous vomiting or bleeding to be categorised as a symptom or reported sign? In response, this archetype has been specifically designed to provide a single information model that allows for recording of the entire continuum between clearly identifiable symptoms and reported signs.\n\nThis archetype has been intended to be used as a generic pattern for all symptoms and reported signs. The 'Specific details' SLOT can be used to extend the archetype to include additional, specific data elements for more complex symptoms or signs. \n\nThis archetype has been specifically designed to be used in the 'Structured detail' SLOT within the OBSERVATION.story archetype, but can also be used within other OBSERVATION or CLUSTER archetypes and in the 'Associated symptom/sign' or 'Previous episode' SLOT within other instances of this CLUSTER.symptom_sign archetype.		
openEHR-EHR-CLUSTER.symptom_sign.v2	description	-	misuse		Not to be used to record screening questionnaire responses about the presence or absence of specific symptoms - use the OBSERVATION.symptom_sign_screening archetype for this purpose. However, this CLUSTER.symptom_sign archetype may be nested within the 'Screening details' SLOT in the OBSERVATION.symptom_sign_screening archetype if it is necessary to extend the questionnaire by recording details about symptom or sign.\n\nNot to be used to record that a symptom or sign was explicitly reported as not present - use CLUSTER.exclusion_symptom_sign carefully for specific purposes where the overheads of recording in this way warrant the additional complexity.\n\nNot to be used for recording objective findings as part of a physical examination - use OBSERVATION.exam and related examination CLUSTER archetypes for this purpose.\n\nNot to be used for diagnoses and problems that form part of a persisting Problem List - use EVALUATION.problem_diagnosis.\n\nNot to be used to record a formal and repeatable severity scale such as VAS or NRS. Use appropriate OBSERVATION archetypes for this purpose.		
openEHR-EHR-CLUSTER.symptom_sign.v2	description	-	keywords		complaint | symptom | disturbance | problem | discomfort | presenting complaint | presenting symptom | sign		
openEHR-EHR-CLUSTER.symptom_sign.v2	description	-	copyright		© openEHR Foundation		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0000	text	CLUSTER	Symptom/Sign		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0000	description	CLUSTER	Reported observation of a physical or mental disturbance in an individual.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0001	text	CLUSTER > items/ELEMENT	Symptom/Sign name		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0001	description	CLUSTER > items/ELEMENT	The name of the reported symptom or sign.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0001	comment	CLUSTER > items/ELEMENT	Symptom name should be coded with a terminology, where possible.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0002	text	CLUSTER > items/ELEMENT	Description		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0002	description	CLUSTER > items/ELEMENT	Narrative description about the reported symptom or sign.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0003	text	CLUSTER > items/ELEMENT	Pattern		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0003	description	CLUSTER > items/ELEMENT	Narrative description about the pattern of the symptom or sign during this episode.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0003	comment	CLUSTER > items/ELEMENT	For example: pain could be described as constant or intermittent.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0017	text	CLUSTER > items/CLUSTER > items/ELEMENT	Effect		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0017	description	CLUSTER > items/CLUSTER > items/ELEMENT	Perceived effect of the modifying factor on the symptom or sign.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0018	text	CLUSTER > items/CLUSTER	Modifying factor		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0018	description	CLUSTER > items/CLUSTER	Detail about how a specific factor effects the identified symptom or sign during this episode.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0019	text	CLUSTER > items/CLUSTER > items/ELEMENT	Factor		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0019	description	CLUSTER > items/CLUSTER > items/ELEMENT	Name of the modifying factor.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0019	comment	CLUSTER > items/CLUSTER > items/ELEMENT	Examples of modifying factor: lying on multiple pillows, eating or administration of a specific medication.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0021	text	CLUSTER > items/ELEMENT	Severity category		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0021	description	CLUSTER > items/ELEMENT	Category representing the overall severity of the symptom or sign.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0021	comment	CLUSTER > items/ELEMENT	Defining values such as mild, moderate or severe in such a way that is applicable to multiple symptoms or signs plus allows multiple users to interpret and record them consistently is not easy. Some organisations extend the value set further with inclusion of additional values such as 'Trivial' and 'Very severe', and/or 'Mild-Moderate' and 'Moderate-Severe', adds to the definitional difficulty and may also worsen inter-recorder reliability issues. Use of 'Life-threatening' and 'Fatal' is also often considered as part of this value set, although from a pure point of view it may actually reflect an outcome rather than a severity. In view of the above, keeping to a well-defined but smaller list is preferred and so the mild/moderate/severe value set is offered, however the choice of other text allows for other value sets to be included at this data element in a template.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0023	text		Mild		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0023	description		The intensity of the symptom or sign does not cause interference with normal activity.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0024	text		Moderate		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0024	description		The intensity of the symptom or sign causes interference with normal activity.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0025	text		Severe		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0025	description		The intensity of the symptom or sign causes prevents normal activity.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0028	text	CLUSTER > items/ELEMENT	Episode duration		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0028	description	CLUSTER > items/ELEMENT	The duration of this episode of the symptom or sign since initial onset.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0028	comment	CLUSTER > items/ELEMENT	If 'Date/time of onset' and 'Date/time of resolution' are used in systems, this data element may be calculated, or alternatively, be considered redundant in this scenario. The text data type is used for recording preset duration intervals such as '0-7 days, 1-2 weeks, 2 weeks or more'.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0031	text	CLUSTER > items/ELEMENT	Number of previous episodes		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0031	description	CLUSTER > items/ELEMENT	The number of times this symptom or sign has previously occurred.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0037	text	CLUSTER > items/ELEMENT	Episode description		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0037	description	CLUSTER > items/ELEMENT	Narrative description about the course of the symptom or sign during this episode.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0037	comment	CLUSTER > items/ELEMENT	For example: a text description of the immediate onset of the symptom, activities that worsened or relieved the symptom, whether it is improving or worsening and how it resolved over weeks.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0056	text	CLUSTER > items/CLUSTER > items/ELEMENT	Description		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0056	description	CLUSTER > items/CLUSTER > items/ELEMENT	Narrative description of the effect of the modifying factor on the symptom or sign.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0057	text	CLUSTER > items/ELEMENT	Description of previous episodes		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0057	description	CLUSTER > items/ELEMENT	Narrative description of any or all previous episodes.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0057	comment	CLUSTER > items/ELEMENT	For example: frequency/periodicity - per hour, day, week, month, year; and regularity. May include a comparison to this episode.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0063	text	CLUSTER > items/CLUSTER	Associated symptom/sign		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0063	description	CLUSTER > items/CLUSTER	Structured details about any associated symptoms or signs that are concurrent.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0063	comment	CLUSTER > items/CLUSTER	In linked clinical systems, it is possible that associated symptoms or signs are already recorded within the EHR. Systems can allow the clinician to LINK to relevant associated symptoms/signs. However in a system or message without LINKs to existing data or with a new patient, additional instances of the symptom archetype could be included here to represent associated symptoms/signs.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0146	text	CLUSTER > items/CLUSTER	Previous episodes		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0146	description	CLUSTER > items/CLUSTER	Structured details of the symptom or sign during a previous episode.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0146	comment	CLUSTER > items/CLUSTER	In linked clinical systems, it is possible that previous episodes are already recorded within the EHR. Systems can allow the clinician to LINK to relevant previous episodes. However in a system or message without LINKs to existing data or with a new patient, additional instances of the symptom archetype could be included here to represent previous episodes. It is recommended that new instances of the Symptom archetype inserted in this SLOT represent one or many previous episodes to this Symptom instance only.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0147	text	CLUSTER > items/CLUSTER	Structured body site		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0147	description	CLUSTER > items/CLUSTER	Structured body site where the symptom or sign was reported.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0147	comment	CLUSTER > items/CLUSTER	If the anatomical location is included in the Symptom name via precoordinated codes, use of this SLOT becomes redundant. If the anatomical location is recorded using the 'Body site' data element, then use of CLUSTER archetypes in this SLOT is not allowed - record only the simple 'Body site' OR 'Structured body site', but not both.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0151	text	CLUSTER > items/ELEMENT	Body site		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0151	description	CLUSTER > items/ELEMENT	Simple body site where the symptom or sign was reported.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0151	comment	CLUSTER > items/ELEMENT	Occurrences of this data element are set to 0..* to allow multiple body sites to be separated out in a template if desired. This allows for representation of clinical scenarios where a symptom or sign needs to be recorded in multiple locations or identifying both the originating and distal site in pain radiation, but where all of the other attributes such as impact and duration are identical. If the requirements for recording the body site are determined at run-time by the application or require more complex modelling such as relative locations then use the CLUSTER.anatomical_location or CLUSTER.relative_location within the Detailed anatomical location' SLOT in this archetype. \nIf the anatomical location is included in the Symptom name via precoordinated codes, this data element becomes redundant. If the anatomical location is recorded using the 'Structured body site' SLOT, then use of this data element is not allowed - record only the simple 'Body site' OR 'Structured body site', but not both.		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0152	text	CLUSTER > items/ELEMENT	Episode onset		
openEHR-EHR-CLUSTER.symptom_sign.v2	term	at0152	description	CLUSTER > items/ELEMENT	The onset for this episode of the symptom or sign.		
