archetype	section	code	field	context	source	target	note
openEHR-EHR-COMPOSITION.request.v1	description	-	purpose		To request advice, a specified service or transfer of care from a healthcare provider or organisation about the subject of care.		
openEHR-EHR-COMPOSITION.request.v1	description	-	use		Use as basis for a request for advice, a service or transfer of care from a healthcare provider or organisation about the subject of care. This document will typically include details about the scope and duration of validity of the request, as well as relevant clinical information about the subject. Requests can vary from a simple request for a consultation, seeking recommendation about further action, requesting a specific procedure or diagnostic test, through to full handover of care and clinical responsibility to the receiving healthcare provider.\n\nUse cases include, but are not limited to a request for:\n- a consultation, second opinion or management advice from a specialist;\n- a diagnostic test;\n- home care from visiting nurses;\n- transfer of care to a rehabilitation facility;\n- for aged care assessment;\n- for a medication review by a pharmacist; and\n- for provision of physiotherapy or occupational therapy.\n\nRequests may be targeted (identifying a specific healthcare provider or organisation to carry out the request) or untargeted (identifying only the type of care desired).		
openEHR-EHR-COMPOSITION.request.v1	description	-	misuse		Not to be used to represent the document recorded as part of a single clinical encounter or visit. Use COMPOSITION.encounter for this purpose.\n\nNot to be used to provide a transfer of care summary to another organisation or provider - use COMPOSITION.transfer_summary for this purpose.		
openEHR-EHR-COMPOSITION.request.v1	description	-	keywords		referral | request | service		
openEHR-EHR-COMPOSITION.request.v1	description	-	copyright		© openEHR Foundation		
openEHR-EHR-COMPOSITION.request.v1	term	at0000	text	COMPOSITION	Request for service		
openEHR-EHR-COMPOSITION.request.v1	term	at0000	description	COMPOSITION	Document sent from one treating healthcare provider or organisation to another, for the purpose of requesting advice, a service or transfer of care.		
openEHR-EHR-COMPOSITION.request.v1	term	at0001	text	COMPOSITION > context/EVENT_CONTEXT > other_context/ITEM_TREE	Tree		
openEHR-EHR-COMPOSITION.request.v1	term	at0001	description	COMPOSITION > context/EVENT_CONTEXT > other_context/ITEM_TREE	@ internal @		
openEHR-EHR-COMPOSITION.request.v1	term	at0042	text	COMPOSITION > context/EVENT_CONTEXT > other_context/ITEM_TREE > items/CLUSTER	Extension		
openEHR-EHR-COMPOSITION.request.v1	term	at0042	description	COMPOSITION > context/EVENT_CONTEXT > other_context/ITEM_TREE > items/CLUSTER	Additional information required to capture local context or to align with other reference models/formalisms.		
openEHR-EHR-COMPOSITION.request.v1	term	at0042	comment	COMPOSITION > context/EVENT_CONTEXT > other_context/ITEM_TREE > items/CLUSTER	For example: Local hospital departmental information or additional metadata to align with FHIR or CIMI equivalents.		
