archetype	section	code	field	context	source	target	note
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	description	-	purpose		To record the clinical assessment of the propensity for an individual to experience an adverse reaction if exposed, or re-exposed, to a specified substance or class of substances.	特定の物質または特定の分類に属する物質への曝露や再曝露によって、個人が有害反応を起こす素因について、臨床的評価を記録するため。	
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	description	-	use		Use to record a clinical assessment of a propensity for an adverse reaction upon future exposure to a specified substance or class of substances including, but not limited to, incipients and excipients in medicinal preparations, biological products, metal salts, and organic chemical compounds. \n\nThis archetype is intended to provide a single place within the health record to document the propensity for the full range of reactions, from trivial to life-threatening:\n- immune-mediated: Types I-IV (including allergic reactions and hypersensitivities); or \n- non-immune-mediated: including pseudo-allergic reactions, side effects, intolerances, and drug toxicities.\nIn clinical practice distinguishing between immune-mediated and non-immune-mediated reactions can be difficult. Identification of the type of reaction is not a proxy for seriousness or risk of harm to the patient.\n\nWhere a propensity is identified, information or evidence about one or more reaction events can be recorded using the CLUSTER.adverse_reaction_event archetype in the 'Reaction event summary' SLOT.\n\nIdentification of the severity of the manifestation of the reaction, recorded in the CLUSTER.adverse_reaction_event archetype, can inform the 'Criticality' of the adverse reaction risk. For example, experiencing anaphylaxis on first exposure to a substance would warrant setting a 'Criticality' of 'high', due to the high risk that anaphylaxis is likely to recur on second and subsequent exposures.\n\nThis archetype has been designed to allow the recording of information about a specific substance (amoxycillin, oysters, or bee sting venom) or, alternatively, a class of substance (e.g. Penicillins). If a class of substance is recorded, identification of the exact substance can be recorded on a per-reaction basis using the CLUSTER.adverse_reaction_event archetype.\n\nUse to record information about the positive presence of the risk of an adverse reaction:\n- to support the direct clinical care of an individual; \n- as part of a managed adverse reaction or allergy/intolerance list; \n- to support the exchange of information about the propensity and events related to adverse reactions; \n- to inform adverse reaction reporting; and \n- to assist with computerised knowledge-based activities such as clinical decision support and alerts.\n\nThe risk of an adverse reaction event or manifestation must always propose a causative substance or class of substance. If there is a degree of uncertainty that a specific substance is the cause, the level of uncertainty can be recorded using the ‘Verification status’ data element. If more than one possible substance may have caused a reaction/manifestation, each substance should be recorded using a separate instance of this adverse reaction risk archetype with the ‘Verification status’ set to an initial state of ‘Unconfirmed’ so that adverse reaction checking can be activated in clinical systems. If the substance is later proven not to be causal then the ‘Verification status’ can be modified to ‘Refuted’ - for example, after allergy testing.	特定の物質または特定の分類に属する物質への今後の曝露によって、有害反応を起こす素因について、臨床的評価を記録するために用いる。対象となる物質には、医薬品製剤の成分や賦形剤、生物学的製剤、金属塩、有機化合物などがあるが、これらに限らない。 \n\n本archetypeは、ごく軽微なものから生命を脅かすものまで、以下のあらゆる反応を起こす素因を健康記録の一か所に記録できるように設計されている。\n- 免疫介在性：I〜IV型の反応（アレルギー反応や過敏症を含む）を記録する。 \n- 非免疫介在性：偽アレルギー反応、副作用、不耐症、薬剤毒性などを記録する。\n臨床現場では、免疫介在性と非免疫介在性の反応を区別することが難しい場合がある。反応の種類を特定しても、患者への影響の深刻さや危害のリスクを判断する代わりにはならない。\n\n素因が特定された場合は、「反応イベントの要約」SLOTの CLUSTER.adverse_reaction_event archetypeを用いて、1つ以上の反応イベントに関する情報や根拠を記録できる。\n\nCLUSTER.adverse_reaction_event archetypeに記録された症状の重症度は、有害反応リスクの「重症度」を判断する参考になる。例：ある物質への初回曝露でアナフィラキシーが起きた場合は、2回目以降の曝露でも再び起きるリスクが高いため、「重症度」を「高」とする根拠になる。\n\n本archetypeは、特定の物質（アモキシシリン、カキ、ハチ刺傷による毒など）、または物質の分類（例：ペニシリン系）に関する情報を記録できるように設計されている。物質の分類を記録した場合は、CLUSTER.adverse_reaction_event archetypeを用いて、反応ごとに具体的な物質を特定して記録できる。\n\n以下の目的で、有害反応のリスクがあることを記録するために用いる。\n- 個人への直接的な診療・ケアを支援する。 \n- 継続的に管理する有害反応リストやアレルギー・不耐症リストの一部として記録する。 \n- 有害反応に関する素因やイベントの情報交換を支援する。 \n- 有害反応の報告に役立てる。 \n- 臨床意思決定支援やアラートなど、コンピュータ上で知識に基づいて行う活動を支援する。\n\n有害反応イベントや症状が生じるリスクを記録する際は、原因と考えられる物質または物質の分類を必ず示す必要がある。特定の物質が原因かどうかに不確実性がある場合は、「検証状態」データエレメントでその程度を記録できる。反応や症状の原因として複数の物質が考えられる場合は、本archetypeの別々のインスタンスを用いて、物質ごとに記録する。その際、「検証状態」の初期値を「未確認」にすることで、臨床システムによる有害反応のチェックを有効にできる。その物質が原因ではないと後に判明した場合（例：アレルギー検査後）は、「検証状態」を「否定」に変更できる。	
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	description	-	misuse		Not to be used for recording physiological reactions to physical agents, such as heat, cold, sunlight, vibration, exercise activity, by infectious agents or food contaminants. Use a specific archetype for EVALUATION.problem/diagnosis or CLUSTER.symptom/sign for this purpose.\n\nNot to be used to record adverse events, including failures of clinical process, interventions or products. For example: abnormal use, incorrect dosage or maladministration of an agent or substance; mislabelling; harm or injury caused by an intervention or procedure; overdose/poisoning etc. Use a specific archetype for the purpose. \n\nNot to be used to record an adverse reaction where the substance is unknown. Use EVALUATION.problem_diagnosis or CLUSTER.symptom_sign to record as part of the health record until a possible substance is identified.\n\nNot to be used to record reactions to transfusions of blood products. Use a specific archetype for this purpose. \n\nNot to be used for recording 'alerts'. Use EVALUATION.precaution, EVALUATION.contraindication or related archetypes for this purpose.\n\nNot to be used for recording failed therapy.\n\nNot to be used for the explicit recording of an absence (or negative presence) of a reaction to 'any substances' or to identified substances, for example ‘No known allergies or adverse reactions’ or ‘No known allergies to Penicillin’. Use the EVALUATION.exclusion_global or EVALUATION.exclusion_specific archetypes to express a positive statement of adverse reaction exclusion.\n\nNot to be used for the explicit recording that no information was able to be obtained about the adverse reaction status of a patient. Use the EVALUATION.absence archetype to record that a positive statement that information was not able to be obtained, for example, if a non-cooperative patient refuses to answer questions.	熱、寒冷、日光、振動、運動などの物理的因子や、感染性因子、食品中の汚染物質による生理的反応の記録には、本archetypeではなく EVALUATION.problem/diagnosis または CLUSTER.symptom/sign の適切なarchetypeを用いる。\n\n診療プロセス、介入、製品の不具合を含む有害事象の記録には、本archetypeではなく、その目的に適したarchetypeを用いる。例：作用物質や物質の不適切な使用、投与量の誤り、誤投与、表示の誤り、介入や処置による危害や外傷、過量投与・中毒など。 \n\n原因となる物質が不明な有害反応の記録には、本archetypeではなく EVALUATION.problem_diagnosis または CLUSTER.symptom_sign を用いる。原因の可能性がある物質が特定されるまでは、これらを用いて健康記録に記録する。\n\n血液製剤の輸血に対する反応の記録には、本archetypeではなく、その目的に適したarchetypeを用いる。 \n\n「アラート」の記録には、本archetypeではなく EVALUATION.precaution、EVALUATION.contraindication、または関連するarchetypeを用いる。\n\n治療が奏効しなかったことの記録には、本archetypeを用いない。\n\n「あらゆる物質」または特定の物質に対する反応がないことを明示的に記録する場合には、本archetypeではなく EVALUATION.exclusion_global または EVALUATION.exclusion_specific archetypeを用いる。例：「既知のアレルギーや有害反応なし」「既知のペニシリンアレルギーなし」。これらのarchetypeを用いて、有害反応を除外する旨を明示する。\n\n患者の有害反応の状態について情報を取得できなかったことの明示的な記録には、本archetypeではなく EVALUATION.absence archetypeを用いる。例：非協力的な患者が質問への回答を拒否した場合など、情報を取得できなかった旨を明示する。	
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	description	-	keywords		reaction | allergy | allergic | adverse | event | effect | sensitivity | intolerance | hypersensitivity | side effect | toxicity | drug | food | agent | substance | immune | non-immune | chemical | anaphylaxis | allergen | medication | supplement | medicine | natural remedies | immunological | non-immunological | risk	反応 | アレルギー | アレルギー性 | 有害 | イベント | 作用 | 感受性 | 不耐症 | 過敏症 | 副作用 | 毒性 | 薬剤 | 食物 | 作用物質 | 物質 | 免疫 | 非免疫 | 化学物質 | アナフィラキシー | アレルゲン | 薬剤 | サプリメント | 医薬品 | 自然療法 | 免疫学的 | 非免疫学的 | リスク	
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	description	-	copyright		© Australian Digital Health Agency, openEHR Foundation, HL7 International, Nasjonal IKT	© Australian Digital Health Agency, openEHR Foundation, HL7 International, Nasjonal IKT	
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	term	at0000	text	EVALUATION	Adverse reaction risk	有害反応リスク	
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	term	at0000	description	EVALUATION	Clinical assessment of the propensity for an individual to experience a harmful or undesirable physiological response if exposed, or re-exposed, to a substance.	物質への曝露や再曝露によって、個人が有害または望ましくない生理的反応を起こす素因についての臨床的評価。	
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	term	at0000	comment	EVALUATION	Substances include, but are not limited to: a therapeutic substance administered correctly at an appropriate dosage for the individual; food; material derived from plants or animals; or venom from insect stings.	対象となる物質には、個人に適した用量で正しく投与された治療用物質、食物、動植物由来の物質、昆虫の刺傷による毒などがあるが、これらに限らない。	
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	term	at0000	source	EVALUATION	openEHR,FHIR	openEHR,FHIR	
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	term	at0001	text	EVALUATION > data/ITEM_TREE	Tree	Tree	
