archetype	section	code	field	context	source	target	note
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	description	-	purpose		To record the clinical assessment of the propensity for an individual to experience an adverse reaction if exposed, or re-exposed, to a specified substance or class of substances.		
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	description	-	use		Use to record a clinical assessment of a propensity for an adverse reaction upon future exposure to a specified substance or class of substances including, but not limited to, incipients and excipients in medicinal preparations, biological products, metal salts, and organic chemical compounds. \n\nThis archetype is intended to provide a single place within the health record to document the propensity for the full range of reactions, from trivial to life-threatening:\n- immune-mediated: Types I-IV (including allergic reactions and hypersensitivities); or \n- non-immune-mediated: including pseudo-allergic reactions, side effects, intolerances, and drug toxicities.\nIn clinical practice distinguishing between immune-mediated and non-immune-mediated reactions can be difficult. Identification of the type of reaction is not a proxy for seriousness or risk of harm to the patient.\n\nWhere a propensity is identified, information or evidence about one or more reaction events can be recorded using the CLUSTER.adverse_reaction_event archetype in the 'Reaction event summary' SLOT.\n\nIdentification of the severity of the manifestation of the reaction, recorded in the CLUSTER.adverse_reaction_event archetype, can inform the 'Criticality' of the adverse reaction risk. For example, experiencing anaphylaxis on first exposure to a substance would warrant setting a 'Criticality' of 'high', due to the high risk that anaphylaxis is likely to recur on second and subsequent exposures.\n\nThis archetype has been designed to allow the recording of information about a specific substance (amoxycillin, oysters, or bee sting venom) or, alternatively, a class of substance (e.g. Penicillins). If a class of substance is recorded, identification of the exact substance can be recorded on a per-reaction basis using the CLUSTER.adverse_reaction_event archetype.\n\nUse to record information about the positive presence of the risk of an adverse reaction:\n- to support the direct clinical care of an individual; \n- as part of a managed adverse reaction or allergy/intolerance list; \n- to support the exchange of information about the propensity and events related to adverse reactions; \n- to inform adverse reaction reporting; and \n- to assist with computerised knowledge-based activities such as clinical decision support and alerts.\n\nThe risk of an adverse reaction event or manifestation must always propose a causative substance or class of substance. If there is a degree of uncertainty that a specific substance is the cause, the level of uncertainty can be recorded using the ‘Verification status’ data element. If more than one possible substance may have caused a reaction/manifestation, each substance should be recorded using a separate instance of this adverse reaction risk archetype with the ‘Verification status’ set to an initial state of ‘Unconfirmed’ so that adverse reaction checking can be activated in clinical systems. If the substance is later proven not to be causal then the ‘Verification status’ can be modified to ‘Refuted’ - for example, after allergy testing.		
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	description	-	misuse		Not to be used for recording physiological reactions to physical agents, such as heat, cold, sunlight, vibration, exercise activity, by infectious agents or food contaminants. Use a specific archetype for EVALUATION.problem/diagnosis or CLUSTER.symptom/sign for this purpose.\n\nNot to be used to record adverse events, including failures of clinical process, interventions or products. For example: abnormal use, incorrect dosage or maladministration of an agent or substance; mislabelling; harm or injury caused by an intervention or procedure; overdose/poisoning etc. Use a specific archetype for the purpose. \n\nNot to be used to record an adverse reaction where the substance is unknown. Use EVALUATION.problem_diagnosis or CLUSTER.symptom_sign to record as part of the health record until a possible substance is identified.\n\nNot to be used to record reactions to transfusions of blood products. Use a specific archetype for this purpose. \n\nNot to be used for recording 'alerts'. Use EVALUATION.precaution, EVALUATION.contraindication or related archetypes for this purpose.\n\nNot to be used for recording failed therapy.\n\nNot to be used for the explicit recording of an absence (or negative presence) of a reaction to 'any substances' or to identified substances, for example ‘No known allergies or adverse reactions’ or ‘No known allergies to Penicillin’. Use the EVALUATION.exclusion_global or EVALUATION.exclusion_specific archetypes to express a positive statement of adverse reaction exclusion.\n\nNot to be used for the explicit recording that no information was able to be obtained about the adverse reaction status of a patient. Use the EVALUATION.absence archetype to record that a positive statement that information was not able to be obtained, for example, if a non-cooperative patient refuses to answer questions.		
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	description	-	keywords		reaction | allergy | allergic | adverse | event | effect | sensitivity | intolerance | hypersensitivity | side effect | toxicity | drug | food | agent | substance | immune | non-immune | chemical | anaphylaxis | allergen | medication | supplement | medicine | natural remedies | immunological | non-immunological | risk		
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	description	-	copyright		© Australian Digital Health Agency, openEHR Foundation, HL7 International, Nasjonal IKT		
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	term	at0000	text	EVALUATION	Adverse reaction risk		
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	term	at0000	description	EVALUATION	Clinical assessment of the propensity for an individual to experience a harmful or undesirable physiological response if exposed, or re-exposed, to a substance.		
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	term	at0000	comment	EVALUATION	Substances include, but are not limited to: a therapeutic substance administered correctly at an appropriate dosage for the individual; food; material derived from plants or animals; or venom from insect stings.		
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	term	at0000	source	EVALUATION	openEHR,FHIR		
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	term	at0001	text	EVALUATION > data/ITEM_TREE	Tree		
