archetype	section	code	field	context	source	target	note
openEHR-EHR-EVALUATION.clinical_synopsis.v1	description	-	purpose		To manually synthesise and record a narrative summary about a patient, from the perspective of a healthcare provider.		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	description	-	use		Use to record a narrative, summary view of the patient's health.  This unstructured summary may include identified health issues; health care provided; associated interpretation; patient understanding; and enable communication about some of the softer, more subjective aspects of the patient’s experience and journey. Most commonly this summary is likely to be related to a specific health event such as a specific consultation or hospital admission, but may also be used to summarise the patient's health experience over varying time periods. \nIn practice, Clinical Synopsis is a meta observation that will complement the existing structured clinical record, allowing for expression of subtle, subjective or interpretive information about the patient that might not otherwise be obvious through structured data alone, providing balance and context to the EHR record.  \nFor example, a Clinical Synopsis can communicate a succinct summary of the patient's hospital admission as one component of a comprehensive and structured Discharge Summary document.		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	description	-	misuse		Not to be used to record specific and structured health information. For example, detailed information about Problems, Diagnoses, and Test Results should be recorded using the specific relevant archetypes EVALUATION.problem, EVALUATION.problem-diagnosis, and laboratory or radiology results in OBSERVATIONs. The Clinical Synopsis may convey some critical and selected numerical results from these structured details when judged important for completeness of the Synopsis but is NOT the primary recording site for them.\nThe term “Clinical Synopsis” can sometimes refer to complex and comprehensive documents, such as a Discharge Summary or a Report. In openEHR these documents should be represented as aggregations of constrained archetypes, that is, a Discharge Summary template or a Report template, comprising a number of separate archetypes, of which this Clinical Synopsis archetype may be one.		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	description	-	keywords		summary | conclusion | outline | precis | abstract | assessment | synopsis | epicrisis | comment | note		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	description	-	copyright		© openEHR Foundation		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0000	text	EVALUATION	Clinical synopsis		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0000	description	EVALUATION	Narrative summary or overview about a patient, specifically from the perspective of a healthcare provider, and with or without associated interpretations.		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0001	text	EVALUATION > data/ITEM_TREE	List		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0001	description	EVALUATION > data/ITEM_TREE	@ internal @		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0002	text	EVALUATION > data/ITEM_TREE > items/ELEMENT	Synopsis		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0002	description	EVALUATION > data/ITEM_TREE > items/ELEMENT	The summary, assessment, conclusions or evaluation of the clinical findings.		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0003	text	EVALUATION > protocol/ITEM_TREE	Tree		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0003	description	EVALUATION > protocol/ITEM_TREE	@ internal @		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0004	text	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	Extension		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0004	description	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	Additional information required to capture local content or to align with other reference models/formalisms.		
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0004	comment	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	For example: local information requirements or additional metadata to align with FHIR or CIMI equivalents.		
