archetype	section	code	field	context	source	target	note
openEHR-EHR-EVALUATION.reason_for_encounter.v1	description	-	purpose		To record the reason, or reasons, for initiation of any type of healthcare encounter or contact by the individual who is the subject of care.	ケア対象者が何らかの診察または受診を開始した理由（複数の場合もある）を記録するため。	
openEHR-EHR-EVALUATION.reason_for_encounter.v1	description	-	use		Use to record the reason, or reasons, for initiation of any type of healthcare encounter or contact between a healthcare provider and the individual who is the subject of care. The reason may be for clinical, social or administrative purposes.\n\nReason for Encounter is a common phrase used in clinical medicine, however the term is often used in two common ways - one that refers to an administrative category for provision of healthcare and the other that reflects clinical or social problems that motivate individuals to seek healthcare.\n\nIn an effort to clarify the phrases and intent, this archetype contains two data elements:\n- The first, 'Contact type', to document the administrative type of healthcare sought or required - for example the type of consultation, emergency care, pre-operative assessment, routine antenatal visit or elective admission. This data element reflects the administrative category of care provision. Use of the phrase 'Contact type', rather than 'Reason for encounter' or 'Reason for visit' reflects the increasing trend towards alternative methods of healthcare provision that may not result in face-to-face contact between the healthcare provider and patient within a consulting room.\n- The second, 'Presenting problem', to document the clinical reasons for healthcare contact. Chief complaint is regarded as a synonym for 'Presenting problem'. These are intended mainly to capture the patient's perceived issues or symptoms which have triggered them to seek healthcare advice, such as desire to quit smoking, stress, shortness of breath, genetic counselling or abdominal pain. Signs such as impaired conscious state may also be captured here, for example by paramedical staff with an unconscious patient.	医療従事者とケア対象者との間で、あらゆる種類の診察または受診が開始された理由（複数の場合もある）を記録するために用いる。理由は臨床的、社会的、または管理的な目的のいずれでもよい。\n\n「受診理由（Reason for encounter）」は臨床医学で広く使われる語句であるが、この語は一般に2つの意味で使われている。一つは医療提供の管理上の区分を指すもの、もう一つは人が医療を求める動機となる臨床的または社会的な問題を指すものである。\n\nこの語句と意図を明確にするため、本アーキタイプは2つのデータ要素を含む：\n- 一つ目の「受診区分」は、求められている、または必要とされている医療の管理上の種別を記録するためのものである。例えば、コンサルテーションの種類、救急診療、術前評価、定期の妊婦健診、予定入院などである。このデータ要素は医療提供の管理上の区分を反映する。「受診理由」や「来院理由」ではなく「受診区分（Contact type）」という語句を用いているのは、診察室で医療従事者と患者が対面しない形態の医療提供が増えている傾向を反映したものである。\n- 二つ目の「受診時の問題」は、受診の臨床的な理由を記録するためのものである。「主訴」は「受診時の問題」の同義語とみなされる。これらは主に、患者が医療の助言を求めるきっかけとなった、患者自身が認識している問題や症状を捉えることを意図している。例えば、禁煙の希望、ストレス、息切れ、遺伝カウンセリング、腹痛などである。意識障害などの徴候もここに記録してよい。例えば、意識のない患者に対応する救急救命士による記録などである。	"paramedical staff"→「救急救命士」、"routine antenatal visit"→「定期の妊婦健診」、"elective admission"→「予定入院」
openEHR-EHR-EVALUATION.reason_for_encounter.v1	description	-	misuse		Not to be used to record specific details of the patient's story or history of symptoms. Use OBSERVATION.story to capture the narrative and the related nested CLUSTER archetypes for structured content eg CLUSTER.symptom, CLUSTER.event and CLUSTER.issue.\n\nNot to be used to record specific diagnosis details that may be required in addition to a Reason for Encounter. For example, to record a Pre-operative Diagnosis as part of admission for a hospital procedure. Use the EVALUATION.problem_diagnosis archetype for this purpose.	患者の病歴や症状の経過の具体的な詳細を記録するために用いてはならない。叙述的な内容には OBSERVATION.story を、構造化された内容にはそれに入れ子にする CLUSTER アーキタイプ（例：CLUSTER.symptom、CLUSTER.event、CLUSTER.issue）を用いること。\n\n受診理由に加えて必要となりうる具体的な診断の詳細を記録するために用いてはならない。例えば、病院での処置のための入院時に術前診断を記録する場合などである。その目的には EVALUATION.problem_diagnosis アーキタイプを用いること。	
openEHR-EHR-EVALUATION.reason_for_encounter.v1	description	-	keywords		presentation | presenting complaint | reason for encounter | reason | chief complaint | visit | reason for visit	受診理由 | 来院理由 | 主訴 | 受診時の問題 | 受診区分 | 理由 | 受診	原文7語に対応。「受診区分」を追加
openEHR-EHR-EVALUATION.reason_for_encounter.v1	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-EVALUATION.reason_for_encounter.v1	term	at0000	text	EVALUATION	Reason for encounter	受診理由	「受診理由」で確定（encounter＝診察の規則の例外として概念名のみ慣用を優先）
openEHR-EHR-EVALUATION.reason_for_encounter.v1	term	at0000	description	EVALUATION	The reason for initiation of any healthcare encounter or contact by the individual who is the subject of care.	ケア対象者が何らかの診察または受診を開始した理由。	
openEHR-EHR-EVALUATION.reason_for_encounter.v1	term	at0001	text	EVALUATION > data/ITEM_TREE	Tree	Tree	
openEHR-EHR-EVALUATION.reason_for_encounter.v1	term	at0001	description	EVALUATION > data/ITEM_TREE	@ internal @	@ internal @	
openEHR-EHR-EVALUATION.reason_for_encounter.v1	term	at0002	text	EVALUATION > data/ITEM_TREE > items/ELEMENT	Contact type	受診区分	contact＝受診 の規則により「受診区分」
openEHR-EHR-EVALUATION.reason_for_encounter.v1	term	at0002	description	EVALUATION > data/ITEM_TREE > items/ELEMENT	Identification of the type, or administrative category, of healthcare sought or required by the subject of care.	ケア対象者が求めている、または必要としている医療の種別、すなわち管理上の区分の特定。	
openEHR-EHR-EVALUATION.reason_for_encounter.v1	term	at0002	comment	EVALUATION > data/ITEM_TREE > items/ELEMENT	Coding of the 'Contact type' with a terminology is desirable, where possible. Examples include: pre-employment medical, routine antenatal visit, women's health check, pre-operative assessment, or annual medical check-up.\n	可能であれば「受診区分」は用語集によりコード化することが望ましい。例：雇用時健康診断、定期の妊婦健診、女性の健康診査、術前評価、年1回の健康診断。\n	"pre-employment medical"→「雇用時健康診断」（労安法の雇入時健診に相当）
openEHR-EHR-EVALUATION.reason_for_encounter.v1	term	at0004	text	EVALUATION > data/ITEM_TREE > items/ELEMENT	Presenting problem	受診時の問題	要確認: 「受診時の問題」を採用し、comment で「主訴」を同義語として明記（de 訳は Hauptbeschwerde=主訴を採用）。社会的問題や徴候も含む原義を優先
openEHR-EHR-EVALUATION.reason_for_encounter.v1	term	at0004	description	EVALUATION > data/ITEM_TREE > items/ELEMENT	Identification of the clinical or social problem motivating the subject of care to seeking healthcare.	ケア対象者が医療を求める動機となっている臨床的または社会的な問題の特定。	
openEHR-EHR-EVALUATION.reason_for_encounter.v1	term	at0004	comment	EVALUATION > data/ITEM_TREE > items/ELEMENT	Coding of the 'Presenting problem' with a terminology is desirable, where possible. Clinical or social reasons for seeking healthcare can include health issues, symptoms or physical signs. Examples: health issues - desire to quit smoking, domestic violence; symptoms - abdominal pain, shortness of breath; physical signs - an altered conscious state. 'Chief complaint' may be used as a valid synonym for 'Presenting problem' in templates.\n 	可能であれば「受診時の問題」は用語集によりコード化することが望ましい。医療を求める臨床的または社会的な理由には、健康上の問題、症状、身体的徴候が含まれうる。例：健康上の問題 - 禁煙の希望、家庭内暴力；症状 - 腹痛、息切れ；身体的徴候 - 意識状態の変化。テンプレートでは「主訴」を「受診時の問題」の同義語として用いてよい。\n 	
