archetype	section	code	field	context	source	target	note
openEHR-EHR-INSTRUCTION.medication_order.v3	description	-	purpose		To record all aspects of an order of a medication, vaccine, nutritional product or other therapeutic item for an identified individual.	特定された本人に対する薬剤、ワクチン、栄養製品、その他の治療用品のオーダーについて、すべての側面を記録するため。	
openEHR-EHR-INSTRUCTION.medication_order.v3	description	-	use		Use to record all aspects of an order of a medication, vaccine, nutritional product or other therapeutic item for an identified individual.\n\nIt is intended to be used for any type of medication and related order, whether prescribed by a health professional or available for purchase 'over the counter'. The scope of this medication archetype also includes orders for vaccinations, parenteral fluids or other therapeutic goods, such as bandages, nutritional products or other items that are applied or administered to have a therapeutic effect and which have a common pattern for data recording.\n\nThis archetype is designed to be used in a number of clinical contexts, including but not limited to:\n- a record in a clinical consultation (COMPOSITION.encounter);\n- a written prescription by a physician, dentist, nurse practitioner, or other designated health professional for a medication or nutritional product to be dispensed and administered (within a COMPOSITION.prescription);\n- an item in a current medication list, prescription or drug chart (within COMPOSITION.medication_list); and\n- an item in a summary document such as transfer of care (COMPOSITION.transfer_summary) or a referral (COMPOSITION.request).\n\nIn many cases a medication order will be simple – typically for a single medication item with uncomplicated instructions for dispensing and administration. However this archetype is also designed to allow for more complex therapeutic orders. For example:\n\n- a reducing dose of prednisolone over a period of weeks;\n- titration of insulin, with dosing dependent on test results;\n- multiple medications prescribed simultaneously as part of a single drug regimen, such as a triple therapy for peptic ulcer; and\n- intravenous administration of medications or nutrition supplements, including parenteral nutrition.\n\nThe archetype has therefore been designed to allow for a range of complexity, from:\n- simple narrative instructions for orders like 'furosemide 40mg two tablets in the morning and one at lunch' to ensure compatibility with existing systems; and\n- the amount of medication is usually represented in terms of a number and corresponding dose unit, however there can alternatively be a narrative statement to ensure compatibility with existing systems and coverage of all clinical scenarios; through to\n- structured detail for dose, route and timing to represent a fully computable specification.\n\nIt has also been designed so that a single medication order structure can represent:\n- complex sequential medication orders using the same preparation strength to be supported within a single order structure; and\n- multiple medication orders can be chained in circumstances where different medications or preparations need to be given sequentially.\n\nThis archetype is also suitable for ordering parenteral fluids, in care settings where it is normal practice to make these 'prescribable' items. In other settings a separate 'parenteral fluid order' may be appropriate.\n\nSLOTs containing CLUSTER archetypes have been used to represent some of the content for three reasons:\n- To ensure a core archetype that can be used for all the above use cases, yet allow flexibility where it is required, for example the ‘Preparation details’ SLOT where additional structured detail can be added. A candidate archetype has been suggested for Medications. It is possible that other CLUSTER archetypes may be required in future for other purposes such as complex parenteral nutrition orders;\n- to support archetype re-use in situations where the content has been identified as being also used in other clinical contexts, in particular the paired ACTION.medication archetype for recording actual dispensing, administration etc; and\n- to remove less commonly used content from the core archetype framework.\n\nMultiple orders can be represented as separate activities within this single archetype instance to carry tightly bound orders of different medications, for example, H. pylori therapy when this is not prescribed as a single pack.\n\nIt should be noted that these uses subsume both the FHIR Medication Order and Medication Statement use cases. i.e this archetype is a match for both FHIR resources, used in the appropriate context.	特定された本人に対する薬剤、ワクチン、栄養製品、その他の治療用品のオーダーについて、すべての側面を記録するために用いる。\n\n医療従事者が処方するものから一般用医薬品（OTC）として購入できるものまで、あらゆる種類の薬剤と関連するオーダーに用いることを想定している。本archetypeの対象には、ワクチン接種、非経口輸液、その他の治療用品のオーダーも含まれる。治療用品には包帯や栄養製品などがあり、治療効果を得るために使用または投与され、共通のデータ記録パターンを持つものを扱う。\n\n本archetypeは、以下を含むさまざまな臨床の文脈で使うよう設計されている：\n- 診察時の記録（COMPOSITION.encounter）に用いる。\n- 医師、歯科医師、ナースプラクティショナー、その他の指定された医療従事者が、調剤・投与する薬剤や栄養製品について書く処方箋（COMPOSITION.prescription 内）に用いる。\n- 現在の薬剤リスト、処方箋、投薬指示簿の項目（COMPOSITION.medication_list 内）に用いる。\n- 診療の引き継ぎ（COMPOSITION.transfer_summary）や紹介（COMPOSITION.request）などのサマリー文書の項目に用いる。\n\n薬剤オーダーの多くは単純であり、通常は単一の薬剤に対する簡単な調剤・投与の指示である。ただし、本archetypeはより複雑な治療のオーダーにも対応できるよう設計されている。例：\n\n- 数週間かけてプレドニゾロンを漸減する。\n- 検査結果に応じて投与量を決め、インスリンの用量調節（漸増）を行う。\n- 消化性潰瘍の三剤併用療法のように、単一の薬剤レジメンの一部として複数の薬剤を同時に処方する。\n- 経静脈栄養を含め、薬剤や栄養補助製品を静脈内に投与する。\n\nこのため、本archetypeは以下のように、単純な記述から複雑な構造化表現まで扱えるよう設計されている：\n- 既存システムとの互換性を確保するため、「フロセミド40mg錠を朝2錠、昼1錠」のようなオーダーの指示を簡単な文章で記録する。\n- 薬剤の量は通常、数値と対応する用量単位で表すが、既存システムとの互換性を確保し、あらゆる臨床シナリオに対応するため、文章で記録することもできる。\n- 用量、投与経路、タイミングを構造化して詳しく記録し、すべてをコンピュータで処理できる仕様として表す。\n\nまた、単一の薬剤オーダー構造で、以下を表せるよう設計されている：\n- 同じ含量の製剤を用いる複雑な一連の薬剤オーダーを、単一のオーダー構造内で扱う。\n- 異なる薬剤や製剤を順次投与する必要がある場合に、複数の薬剤オーダーを連結する。\n\n非経口輸液を「処方可能」なものとして扱うのが通常の診療現場では、本archetypeはそのオーダーにも適している。それ以外の現場では、別の「非経口輸液オーダー」が適切な場合もある。\n\n内容の一部を CLUSTER archetypeを含む SLOT で表している理由は、以下の3点である：\n- 上記のすべてのユースケースに使える中核となるarchetypeを保ちつつ、必要な部分では柔軟に拡張できるようにする。例：「製剤の詳細」SLOT では、構造化された詳細情報を追加できる。薬剤については候補となるarchetypeが提案されている。今後、複雑な経静脈栄養のオーダーなど、別の目的には他の CLUSTER archetypeが必要になる可能性がある。\n- 他の臨床の文脈でも使う内容を、archetypeとして再利用できるようにする。特に、実際の調剤や投与などを記録する、対となる ACTION.medication archetypeでの再利用を支援する。\n- 使用頻度の低い内容を、中核となるarchetypeの枠組みから切り離す。\n\n単一のarchetypeインスタンス内で、複数のオーダーを別々のアクティビティとして表せる。これにより、密接に結び付いた異なる薬剤のオーダーをまとめて扱える。例：単一のパックとして処方しない場合の H. pylori 治療。\n\nこれらの用途には、FHIR Medication Order と Medication Statement の両方のユースケースが含まれる。つまり、適切な文脈で用いれば、本archetypeは両方の FHIR リソースに対応する。	要確認: 投薬指示簿（他候補: 薬剤投与記録表）drug chartはオーダーを記載する文脈のため、指示簿を採用する。
openEHR-EHR-INSTRUCTION.medication_order.v3	description	-	misuse		Not to be used to record the activities related to carrying out the order for medication, vaccine, nutritional product or therapeutic item, such as details about actual administration or dispensing. Use the ACTION.medication for this purpose.\n\nNot to be used to record the ordering of blood products, which involves a fundamentally different clinical process and is likely to require different supporting information Use the INSTRUCTION.transfusion for this purpose.\n\nNot to be used to record the order for insertion of implants or medical devices such as pacemakers and defibrillators. Use the INSTRUCTION.procedure for this purpose.	実際の投与や調剤の詳細など、薬剤、ワクチン、栄養製品、治療用品のオーダーを実施する活動の記録には、本archetypeではなく ACTION.medication を用いる。\n\n血液製剤のオーダーの記録には、本archetypeではなく INSTRUCTION.transfusion を用いる。血液製剤では臨床プロセスが根本的に異なり、別の参考資料が必要になると考えられる。\n\nインプラントや、ペースメーカー・除細動器などの医療機器の挿入オーダーの記録には、本archetypeではなく INSTRUCTION.procedure を用いる。	
openEHR-EHR-INSTRUCTION.medication_order.v3	description	-	keywords		medication | order | prescribe | therapy | substance | drug | therapeutic | otc | therapeutic good | pharmaceutical | product | posology | treatment | fluid | nutrition | CPOE | medicine	薬剤 | オーダー | 処方 | 療法 | 物質 | 薬物 | 治療用 | 一般用医薬品（OTC） | 治療用品 | 医薬品 | 製品 | 用量学 | 治療 | 輸液 | 栄養 | CPOE | 薬 | 処方箋 | 投薬 | 薬剤オーダー	
openEHR-EHR-INSTRUCTION.medication_order.v3	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-INSTRUCTION.medication_order.v3	term	at0000	text	INSTRUCTION	Medication order	薬剤オーダー	要確認: 薬剤オーダー（他候補: 処方オーダー）ワクチン・栄養製品・治療用品も含むため、処方より広い語を採用する。
openEHR-EHR-INSTRUCTION.medication_order.v3	term	at0000	description	INSTRUCTION	An order for a medication, vaccine, nutritional product or other therapeutic item for an identified individual.	特定された本人に対する薬剤、ワクチン、栄養製品、その他の治療用品のオーダー。	
openEHR-EHR-INSTRUCTION.medication_order.v3	term	at0001	text	INSTRUCTION > activities/ACTIVITY	Order	オーダー	
openEHR-EHR-INSTRUCTION.medication_order.v3	term	at0001	description	INSTRUCTION > activities/ACTIVITY	Details of the requested order.	依頼されたオーダーに関する詳細情報。	
openEHR-EHR-INSTRUCTION.medication_order.v3	term	at0002	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE	Tree	Tree	
