archetype	section	code	field	context	source	target	note
openEHR-EHR-INSTRUCTION.medication_order.v3	description	-	purpose		To record all aspects of an order of a medication, vaccine, nutritional product or other therapeutic item for an identified individual.		
openEHR-EHR-INSTRUCTION.medication_order.v3	description	-	use		Use to record all aspects of an order of a medication, vaccine, nutritional product or other therapeutic item for an identified individual.\n\nIt is intended to be used for any type of medication and related order, whether prescribed by a health professional or available for purchase 'over the counter'. The scope of this medication archetype also includes orders for vaccinations, parenteral fluids or other therapeutic goods, such as bandages, nutritional products or other items that are applied or administered to have a therapeutic effect and which have a common pattern for data recording.\n\nThis archetype is designed to be used in a number of clinical contexts, including but not limited to:\n- a record in a clinical consultation (COMPOSITION.encounter);\n- a written prescription by a physician, dentist, nurse practitioner, or other designated health professional for a medication or nutritional product to be dispensed and administered (within a COMPOSITION.prescription);\n- an item in a current medication list, prescription or drug chart (within COMPOSITION.medication_list); and\n- an item in a summary document such as transfer of care (COMPOSITION.transfer_summary) or a referral (COMPOSITION.request).\n\nIn many cases a medication order will be simple – typically for a single medication item with uncomplicated instructions for dispensing and administration. However this archetype is also designed to allow for more complex therapeutic orders. For example:\n\n- a reducing dose of prednisolone over a period of weeks;\n- titration of insulin, with dosing dependent on test results;\n- multiple medications prescribed simultaneously as part of a single drug regimen, such as a triple therapy for peptic ulcer; and\n- intravenous administration of medications or nutrition supplements, including parenteral nutrition.\n\nThe archetype has therefore been designed to allow for a range of complexity, from:\n- simple narrative instructions for orders like 'furosemide 40mg two tablets in the morning and one at lunch' to ensure compatibility with existing systems; and\n- the amount of medication is usually represented in terms of a number and corresponding dose unit, however there can alternatively be a narrative statement to ensure compatibility with existing systems and coverage of all clinical scenarios; through to\n- structured detail for dose, route and timing to represent a fully computable specification.\n\nIt has also been designed so that a single medication order structure can represent:\n- complex sequential medication orders using the same preparation strength to be supported within a single order structure; and\n- multiple medication orders can be chained in circumstances where different medications or preparations need to be given sequentially.\n\nThis archetype is also suitable for ordering parenteral fluids, in care settings where it is normal practice to make these 'prescribable' items. In other settings a separate 'parenteral fluid order' may be appropriate.\n\nSLOTs containing CLUSTER archetypes have been used to represent some of the content for three reasons:\n- To ensure a core archetype that can be used for all the above use cases, yet allow flexibility where it is required, for example the ‘Preparation details’ SLOT where additional structured detail can be added. A candidate archetype has been suggested for Medications. It is possible that other CLUSTER archetypes may be required in future for other purposes such as complex parenteral nutrition orders;\n- to support archetype re-use in situations where the content has been identified as being also used in other clinical contexts, in particular the paired ACTION.medication archetype for recording actual dispensing, administration etc; and\n- to remove less commonly used content from the core archetype framework.\n\nMultiple orders can be represented as separate activities within this single archetype instance to carry tightly bound orders of different medications, for example, H. pylori therapy when this is not prescribed as a single pack.\n\nIt should be noted that these uses subsume both the FHIR Medication Order and Medication Statement use cases. i.e this archetype is a match for both FHIR resources, used in the appropriate context.		
openEHR-EHR-INSTRUCTION.medication_order.v3	description	-	misuse		Not to be used to record the activities related to carrying out the order for medication, vaccine, nutritional product or therapeutic item, such as details about actual administration or dispensing. Use the ACTION.medication for this purpose.\n\nNot to be used to record the ordering of blood products, which involves a fundamentally different clinical process and is likely to require different supporting information Use the INSTRUCTION.transfusion for this purpose.\n\nNot to be used to record the order for insertion of implants or medical devices such as pacemakers and defibrillators. Use the INSTRUCTION.procedure for this purpose.		
openEHR-EHR-INSTRUCTION.medication_order.v3	description	-	keywords		medication | order | prescribe | therapy | substance | drug | therapeutic | otc | therapeutic good | pharmaceutical | product | posology | treatment | fluid | nutrition | CPOE | medicine		
openEHR-EHR-INSTRUCTION.medication_order.v3	description	-	copyright		© openEHR Foundation		
openEHR-EHR-INSTRUCTION.medication_order.v3	term	at0000	text	INSTRUCTION	Medication order		
openEHR-EHR-INSTRUCTION.medication_order.v3	term	at0000	description	INSTRUCTION	An order for a medication, vaccine, nutritional product or other therapeutic item for an identified individual.		
openEHR-EHR-INSTRUCTION.medication_order.v3	term	at0001	text	INSTRUCTION > activities/ACTIVITY	Order		
openEHR-EHR-INSTRUCTION.medication_order.v3	term	at0001	description	INSTRUCTION > activities/ACTIVITY	Details of the requested order.		
openEHR-EHR-INSTRUCTION.medication_order.v3	term	at0002	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE	Tree		
