archetype	section	code	field	context	source	target	note
openEHR-EHR-INSTRUCTION.service_request.v1	description	-	purpose		Generic request framework for a health-related service or activity to be delivered by a clinician, organisation or agency.	医療従事者、医療機関、または事業者が提供する保健医療関連のサービスや活動を依頼するための汎用的な枠組み。	要確認: "clinician, organisation or agency"→「医療従事者、医療機関、または事業者」。clinician は用語集の healthcare provider と同じ「医療従事者」に寄せ、agency は「事業者」
openEHR-EHR-INSTRUCTION.service_request.v1	description	-	use		Use to record a request for a health-related service or activity to be delivered by a clinician, organisation or agency.\n\nThis archetype has been designed as a framework that can be used as the basis for:\n- a request from one clinician, organisation or agency to another clinician, organisation or agency for a health-related service. For example: a referral to a specialist clinician for treatment or a second clinical opinion; transfer of care to an emergency department; four hourly vital signs monitoring; and provision of home services from a municipal council; or\n- a request for a follow up service to be scheduled for the same clinician, organisation or agency. For example: a review appointment in outpatients in 6 weeks. \n\nClinical use cases:\n- consider a clinician ordering a follow-up appointment in 6 weeks. 'Follow-up appointment' will be the 'Service name'. If they enter '6 weeks' as the proposed timing for the appointment in the User Interface, the clinical system will record the date six weeks from today in the 'Service due' data element.\n- consider a clinician ordering Diabetes Education as the 'Service name'. The values for 'Reason for request' may be 'New diagnosis' and 'Prevention of ketoacidosis'. The 'Clinical indication' will be 'Diabetes Type 1', which may be linked to the Problem Diagnosis and/or Laboratory test results. If a 4 week course is required, with sessions organised at weekly intervals on 4 separate occasions, then the complex timing requires use of the CLUSTER.service_direction and associated CLUSTER.timing_nondaily archetype.\n- consider a clinician ordering a recurring blood test, such as an INR. The complex timing for this requires use of the CLUSTER.service_direction and associated CLUSTER.timing_nondaily archetype to define each timing in a sequence of tests, such as 'daily for one week, weekly for 4 weeks, monthly for 6 months'.\n\nThe default assumption for this archetype is that it's a request for a single service. If a series of services are required, use the CLUSTER.service_direction archetype within the 'Complex timing' SLOT.\n\nIn many situations it will be possible to record the steps that occur as part of this request being carried out using the corresponding generic ACTION.service. However, there will be many occasions where the required ACTION archetype will be very specific for purpose, as the data requirements for recording provision of many health-related services will need quite unique data elements, recording patterns or pathway steps. For example: ACTION.screening or ACTION.health_education.	医療従事者、医療機関、または事業者が提供する保健医療関連のサービスや活動の依頼を記録するために用いる。\n\n本archetypeは、以下の基盤として使える枠組みとして設計されている：\n- ある医療従事者・医療機関・事業者から別の医療従事者・医療機関・事業者への、保健医療関連サービスの依頼。例：治療またはセカンドオピニオンを求める専門医への紹介；救急部門への診療の移管；4時間ごとのバイタルサイン測定；市町村による在宅サービスの提供。または\n- 同じ医療従事者・医療機関・事業者に対して予約されるフォローアップサービスの依頼。例：6週間後の外来再診。\n\n臨床でのユースケース：\n- 医療従事者が6週間後のフォローアップ受診をオーダーする場合を考える。「フォローアップ受診」が「サービス名」になる。ユーザーインターフェースで受診の希望時期として「6週間」を入力すると、臨床システムは本日から6週間後の日付を「サービス実施予定」データエレメントに記録する。\n- 医療従事者が「サービス名」として糖尿病教育をオーダーする場合を考える。「依頼理由」の値は「新規診断」や「ケトアシドーシスの予防」となりうる。「臨床的適応」は「1型糖尿病」となり、プロブレム・診断や臨床検査結果にリンクされることもある。週1回の間隔で4回に分けたセッションからなる4週間のコースが必要な場合、その複雑なタイミングには CLUSTER.service_direction と、それに関連する CLUSTER.timing_nondaily archetypeを用いる必要がある。\n- 医療従事者が INR のような反復する血液検査をオーダーする場合を考える。この複雑なタイミングには、「1週間は毎日、4週間は毎週、6か月間は毎月」のような一連の検査の各タイミングを定義するために、CLUSTER.service_direction と、それに関連する CLUSTER.timing_nondaily archetypeを用いる必要がある。\n\n本archetypeは、単一のサービスの依頼であることを既定の前提としている。一連のサービスが必要な場合は、「複雑なタイミング」SLOT 内で CLUSTER.service_direction archetypeを用いる。\n\n多くの状況では、この依頼が実施される過程で生じる各ステップを、対応する汎用の ACTION.service を用いて記録できる。しかし、多くの保健医療関連サービスの提供を記録するには、かなり固有のデータエレメント、記録パターン、またはパスウェイのステップが必要になるため、必要な ACTION archetypeが目的に非常に特化したものになる場合も多い。例：ACTION.screening や ACTION.health_education。	
openEHR-EHR-INSTRUCTION.service_request.v1	description	-	keywords		request | order | service | provide | referral	依頼 | オーダー | サービス | 提供 | 紹介 | 診療依頼	原文5語に「診療依頼」を追加
openEHR-EHR-INSTRUCTION.service_request.v1	description	-	copyright		© openEHR Foundation, Nasjonal IKT HF	© openEHR Foundation, Nasjonal IKT HF	
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0000	text	INSTRUCTION	Service request	サービス依頼	要確認: 「サービス依頼」（他候補: 診療サービス依頼／サービスリクエスト）。request＝依頼、service＝サービスの規則に従う
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0000	description	INSTRUCTION	Request for a health-related service or activity to be delivered by a clinician, organisation or agency.	医療従事者、医療機関、または事業者が提供する保健医療関連のサービスや活動の依頼。	
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0001	text	INSTRUCTION > activities/ACTIVITY	Current Activity	現在のアクティビティ	RM の ACTIVITY を指す内部的な名称。「現在のアクティビティ」
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0001	description	INSTRUCTION > activities/ACTIVITY	Current Activity.	現在のアクティビティ。	
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0008	text	INSTRUCTION > protocol/ITEM_TREE	Tree	Tree	
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0008	description	INSTRUCTION > protocol/ITEM_TREE	@ internal @	@ internal @	
