archetype	section	code	field	context	source	target	note
openEHR-EHR-INSTRUCTION.service_request.v1	description	-	purpose		Generic request framework for a health-related service or activity to be delivered by a clinician, organisation or agency.		
openEHR-EHR-INSTRUCTION.service_request.v1	description	-	use		Use to record a request for a health-related service or activity to be delivered by a clinician, organisation or agency.\n\nThis archetype has been designed as a framework that can be used as the basis for:\n- a request from one clinician, organisation or agency to another clinician, organisation or agency for a health-related service. For example: a referral to a specialist clinician for treatment or a second clinical opinion; transfer of care to an emergency department; four hourly vital signs monitoring; and provision of home services from a municipal council; or\n- a request for a follow up service to be scheduled for the same clinician, organisation or agency. For example: a review appointment in outpatients in 6 weeks. \n\nClinical use cases:\n- consider a clinician ordering a follow-up appointment in 6 weeks. 'Follow-up appointment' will be the 'Service name'. If they enter '6 weeks' as the proposed timing for the appointment in the User Interface, the clinical system will record the date six weeks from today in the 'Service due' data element.\n- consider a clinician ordering Diabetes Education as the 'Service name'. The values for 'Reason for request' may be 'New diagnosis' and 'Prevention of ketoacidosis'. The 'Clinical indication' will be 'Diabetes Type 1', which may be linked to the Problem Diagnosis and/or Laboratory test results. If a 4 week course is required, with sessions organised at weekly intervals on 4 separate occasions, then the complex timing requires use of the CLUSTER.service_direction and associated CLUSTER.timing_nondaily archetype.\n- consider a clinician ordering a recurring blood test, such as an INR. The complex timing for this requires use of the CLUSTER.service_direction and associated CLUSTER.timing_nondaily archetype to define each timing in a sequence of tests, such as 'daily for one week, weekly for 4 weeks, monthly for 6 months'.\n\nThe default assumption for this archetype is that it's a request for a single service. If a series of services are required, use the CLUSTER.service_direction archetype within the 'Complex timing' SLOT.\n\nIn many situations it will be possible to record the steps that occur as part of this request being carried out using the corresponding generic ACTION.service. However, there will be many occasions where the required ACTION archetype will be very specific for purpose, as the data requirements for recording provision of many health-related services will need quite unique data elements, recording patterns or pathway steps. For example: ACTION.screening or ACTION.health_education.		
openEHR-EHR-INSTRUCTION.service_request.v1	description	-	keywords		request | order | service | provide | referral		
openEHR-EHR-INSTRUCTION.service_request.v1	description	-	copyright		© openEHR Foundation, Nasjonal IKT HF		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0000	text	INSTRUCTION	Service request		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0000	description	INSTRUCTION	Request for a health-related service or activity to be delivered by a clinician, organisation or agency.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0001	text	INSTRUCTION > activities/ACTIVITY	Current Activity		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0001	description	INSTRUCTION > activities/ACTIVITY	Current Activity.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0008	text	INSTRUCTION > protocol/ITEM_TREE	Tree		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0008	description	INSTRUCTION > protocol/ITEM_TREE	@ internal @		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0009	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE	Tree		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0009	description	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE	@ internal @		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0010	text	INSTRUCTION > protocol/ITEM_TREE > items/ELEMENT	Requester order identifier		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0010	description	INSTRUCTION > protocol/ITEM_TREE > items/ELEMENT	The local identifier assigned by the requesting clinical system.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0010	comment	INSTRUCTION > protocol/ITEM_TREE > items/ELEMENT	Usually equivalent to the HL7 Placer Order Identifier.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0011	text	INSTRUCTION > protocol/ITEM_TREE > items/ELEMENT	Receiver order identifier		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0011	description	INSTRUCTION > protocol/ITEM_TREE > items/ELEMENT	The local identifier assigned to the request by the clinician or organisation receiving the request for service.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0011	comment	INSTRUCTION > protocol/ITEM_TREE > items/ELEMENT	Usually equivalent to the HL7 Filler Order Identifier.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0040	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Service due		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0040	description	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	The date/time, or acceptable interval of date/time, for provision of the service.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0040	comment	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	This data element allows for recording of the timing for a single service, either as a date and time, a date ranges or a text descriptor which can allow for 'next available. In practice, clinicians will often think in terms of ordering services as approximate timing, for example: review in 3 months, 6 months or 12 months. As clinical systems need more exact parameters to operate on, this '3 months' will usually be converted to an exact date 3 months from the date of recording and stored using this data element. If complex timing or sequences of timings are required, use the CLUSTER.service_direction archetype within the 'Complex timing' SLOT and this data element becomes redundant.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0062	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Reason for request		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0062	description	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	A short phrase describing the reason for the request.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0062	comment	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Coding of the 'Reason for request' with a coding system is desirable, if available. This data element allows multiple occurrences to enable the user to record a multiple responses, if required. For example: 'manage diabetes complications'.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0064	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Reason description		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0064	description	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Narrative description about the reason for request.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0064	comment	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	For example: 'The patient's diabetes has recently become more difficult to stabilise and renal function is deteriorating'.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0065	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Intent		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0065	description	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Description of the intent for the request.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0065	comment	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	For example: a referral to a specialist may have the intent of the specialist taking over responsibility for care of the patient, or it may be to provide a second opinion on treatment options. Coding of the 'Intent' with a coding system is desirable, if available. This data element allows multiple occurrences to enable the user to record a multiple responses, if required.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0068	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Urgency		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0068	description	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Urgency of the request for service.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0068	comment	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Specific definitions of emergency and urgent will vary between clinical contexts, clinical systems and the nature of the request itself, so have not been defined in this archetype. If explicit timing is required then the Service period should be clearly stated.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0076	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Supplementary information		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0076	description	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Supplementary information will be following request.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0076	comment	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Record as TRUE if additional information has been identified and will be forwarded when available. For example: pending test results.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0078	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Information description		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0078	description	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Description of the supplementary information.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0112	text	INSTRUCTION > protocol/ITEM_TREE > items/CLUSTER	Extension		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0112	description	INSTRUCTION > protocol/ITEM_TREE > items/CLUSTER	Additional information required to capture local content or to align with other reference models/formalisms.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0112	comment	INSTRUCTION > protocol/ITEM_TREE > items/CLUSTER	For example: local information requirements or additional metadata to align with FHIR or CIMI equivalents.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0116	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/CLUSTER	Patient requirements		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0116	description	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/CLUSTER	Language, transport or other personal requirements to support the patient's attendance or participation in provision of the service.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0121	text	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Service name		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0121	description	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	The name of the single service or activity requested.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0121	comment	INSTRUCTION > activities/ACTIVITY > description/ITEM_TREE > items/ELEMENT	Coding of the 'Service name' with a coding system is desirable, if available. For example: 'referral' to an endocrinologist for diabetes management.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0127	text	INSTRUCTION > protocol/ITEM_TREE > items/ELEMENT	Request status		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0127	description	INSTRUCTION > protocol/ITEM_TREE > items/ELEMENT	The status of the request for service as indicated by the requester.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0127	comment	INSTRUCTION > protocol/ITEM_TREE > items/ELEMENT	Status is used to denote whether this is the initial request, or a follow-up request to change or provide supplementary information. Coding with a terminology is preferred, where possible.		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0128	text	INSTRUCTION > protocol/ITEM_TREE > items/CLUSTER	Distribution list		
openEHR-EHR-INSTRUCTION.service_request.v1	term	at0128	description	INSTRUCTION > protocol/ITEM_TREE > items/CLUSTER	Details of additional clinicians, organisations or agencies who require copies of any communication.		
