archetype	section	code	field	context	source	target	note
openEHR-EHR-OBSERVATION.blood_pressure.v2	description	-	purpose		To record the systemic arterial blood pressure of an individual.	個々人の全身における動脈血圧を記録するためのもの。	
openEHR-EHR-OBSERVATION.blood_pressure.v2	description	-	use		Use to record all representations of systemic arterial blood pressure measurement, no matter which method or body location is used to record it. \n\nThe archetype is intended to capture blood pressure measurements in all clinical scenarios - for example:\n- self-measurement with a home blood pressure machine; \n- an emergency assessment of systolic using palpation and a sphygmomanometer; \n- measurements taken in clinical consultations or during exercise stress testing; and \n- a series of measurements made by a machine in Intensive Care.   \n\nThere is a rich state model that supports interpretation of measurements through identifying patient position, exercise, confounding factors and angle of a tilt table in research. \n\nNamed events have been limited to average over a 24 hour period, however templates can further constrain the default 'any event' to cater for specific requirements for blood pressure measurements such as recording Blood Pressure against specific points in time, or over a range of intervals (+/- mathematical functions).	測定方法や身体部位を問わず、すべての血圧についての表現を記録するために使用される。このアーキタイプはすべての臨床シナリオを網羅することを目指している。以下に例を挙げる。\n- 家庭用血圧計で自己測定した血圧\n- 緊急時の評価として触診法により血圧計で測定された収縮期圧\n- 臨床上のコンサルテーションや運動負荷テストの間に測定されたもの\n- 集中治療において機械的に計測された一連の血圧などである。\n患者の体位や運動負荷、交絡因子やティルト台の角度など識別することにより、研究にて計測状態の解釈を手助けする豊富なステートモデルもある。\n24時間平均血圧だけが特定のイベントとして名前がつけられているが、テンプレートではデフォルトの「任意のイベント」にさらなる制約を加えることで、特定の時間や間隔を指定したり（数学的機能を追加したり、削除して）、血圧を記録するように、血圧測定に対する特定の要求を行ったイベントを指定することができる。	
openEHR-EHR-OBSERVATION.blood_pressure.v2	description	-	misuse		Not to be used to record the measurement of arterial blood pressure which is NOT a surrogate for arterial pressure in the systemic circulation eg specific measurement of right pulmonary artery pressure. Use OBSERVATION.intravascular_pressure in this situation.  \n\nNot to be used to record measurements of intravenous pressure. Use the appropriate specialisations of OBSERVATION.intravascular_pressure in this situation.	全身循環を表す指標としての代わりとならない特定の動脈血圧、たとえば右肺動脈の血圧測定には用いない。このような場合には、OBSERVATION.intravascular_pressureを利用すること。\n血管内圧の測定には用いられない。このような場合には、適切に特殊化されたOBSERVATION.intravascular_pressureを利用すること	
openEHR-EHR-OBSERVATION.blood_pressure.v2	description	-	keywords		observations | measurement | bp | vital signs | mean arterial pressure | pulse pressure | systolic | diastolic | RR | NIBP	観察 | 測定 | 血圧 | バイタルサイン | 平均動脈圧 | 脈圧 | 収縮期 | 拡張期 | RR間隔 | 非観血血圧	
openEHR-EHR-OBSERVATION.blood_pressure.v2	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-OBSERVATION.blood_pressure.v2	term	at0000	text	OBSERVATION	Blood pressure	血圧	
openEHR-EHR-OBSERVATION.blood_pressure.v2	term	at0000	description	OBSERVATION	The local measurement of arterial blood pressure which is a surrogate for arterial pressure in the systemic circulation.	全身を循環する動脈圧の指標として，局所で測定される血圧。一般的には「血圧」とは上腕で上腕動脈圧を測定したものをさすことが多い。	
openEHR-EHR-OBSERVATION.blood_pressure.v2	term	at0000	comment	OBSERVATION	Most commonly, use of the term 'blood pressure' refers to measurement of brachial artery pressure in the upper arm.	ごく一般的には「血圧」という用語は上腕で計測される上腕動脈の圧を示している。	
openEHR-EHR-OBSERVATION.blood_pressure.v2	term	at0001	text	OBSERVATION > data/HISTORY	History	履歴	
openEHR-EHR-OBSERVATION.blood_pressure.v2	term	at0001	description	OBSERVATION > data/HISTORY	History Structural node.	履歴構造ノード	
