archetype	section	code	field	context	source	target	note
openEHR-EHR-OBSERVATION.body_weight.v2	description	-	purpose		To record the body weight of an individual - both actual and approximate.	個人の体重を記録するため。実測値あるいはおおよその値として。	
openEHR-EHR-OBSERVATION.body_weight.v2	description	-	use		To be used for recording the actual measurement of body weight, including when the individual is missing a body part due to a congenital cause or after surgical removal.   A statement identifying the physical incompleteness of the body can be recorded in the 'Confounding factors' data element, if required. This is the usual archetype to be used for a typical measurement of weight, for example self-measured by the individual at home, a clinician measurement in a clinic/hospital, or a fitness instructor in a gymnasium.  \n\nCan also be used for recording an approximation of body weight measurement in a clinical scenario where it is not possible to measure accurately body weight - for example, weighing an uncooperative child, or estimating the weight of an unborn fetus (where the 'subject of data' is the Fetus and recording occurs within the mother's health record).  This is not modelled explicitly in the archetype as the openEHR Reference model allows approximations  for any Quantity data type by setting the attribute Magnitude_status to the value '~'.  At implementation, for example, an application user interface could allow clinicians to select an appropriately labelled check box adjacent to the Weight data field to indicate that the recorded weight is an approximation, rather than actual.\n\nTo be used for recording weight change, that is, either weight loss or weight gain.  This can currently be modelled by constraining the 'any event' to an interval with associated mathematical function of increase or decrease, as appropriate.	身体の一部を先天的な理由あるいは外科的に切除していることにより欠損している場合を含めて、実測した体重を記録するために使われる。必要であれば身体の一部を物理的に欠損している状態は、「交絡因子」(confounding factor)データエレメントに指定される。これは一般的な体重測定のために使われるアーキタイプであり、たとえば個人の家庭で自己測定された体重や、クリニックや病院で臨床スタッフにより計測されたものあるいは、ジムでフィットネスインストラクタにより測定されたものである。\n\nまた、正確な体重測定が不可能であると臨床上想定される場面において、体重を概算して記録するときにも利用される。たとえば、非協力的な子供の体重測定や、未出産の胎児の体重を見積もるような場合である。（胎児体重を見積もる場合、「データの対象」(subject of data)は「胎児」(Fetus)であり、母親の健康を記録するときに同時に記録される。）このアーキタイプでは、openEHRの参照モデルが量(Quantity)を表すデータ型に概算であることを示す属性を明示するようにはモデリングされていない。実装する場合には、たとえばアプリケーションのユーザーインターフェースが臨床スタッフに実測したデータでは無く概算であると言うことを明示的に記録できるようなチェックボックスを用意して、体重データフィールドに記録するようにしておくこともできる。\n\n体重変化、つまり体重が増加しているか減少しているかを記録するために利用することもできる。これについては、現在では「任意のイベント」(any event)による制約を適切な間隔で制約して、数学的に足したり引いたりすることができるようにモデリングされている。	
openEHR-EHR-OBSERVATION.body_weight.v2	description	-	misuse		Not to be used to record a calculated body weight, such as an estimation of the body weight of a person with one or more limbs missing. A calculated body weight may be based on, some or all of, the measured body weight, other body measurements and an algorithm. Use other OBSERVATION archetypes for this purpose.\n\nNot to be used to record the weight of a body part or other object.	新生児が生まれた直後に最初にはかる体重、つまり新生児の「生下時体重」(birth weight)を記録するためには設計されていない。生下時体重の記録にはこのアーキタイプを特殊化したOBSERVATION.body_weight-birthアーキタイプを利用すること。\n調整された体重、たとえば四肢を切断した人の全体重を身体の他の部位を計測して、一定のアルゴリズムに基づいて計算するような場合にも用いられない。その場合には、OBSERVATION.body_weight-adjustedを用いること。\nそのほかの物体や体の一部の重さを記録するためにも用いられない。	
openEHR-EHR-OBSERVATION.body_weight.v2	description	-	keywords		weight | gain | loss | increase | decrease | mass | estimate | actual	重量 | 増量 | 減量 | 増加 | 減少 | 質量 | 推定値 | 実測値	
openEHR-EHR-OBSERVATION.body_weight.v2	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-OBSERVATION.body_weight.v2	term	at0000	text	OBSERVATION	Body weight	体重	
openEHR-EHR-OBSERVATION.body_weight.v2	term	at0000	description	OBSERVATION	Measurement of the body weight of an individual.	個人の体重を測定したもの	
openEHR-EHR-OBSERVATION.body_weight.v2	term	at0001	text	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE	Simple	Simple	内部の構造ノード名（Simple / history / state structure / protocol structure）は文体規則により英字のまま。placeholder の *…(en) を外しただけ。
openEHR-EHR-OBSERVATION.body_weight.v2	term	at0001	description	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE	@ internal @	@ internal @	
openEHR-EHR-OBSERVATION.body_weight.v2	term	at0002	text	OBSERVATION > data/HISTORY	history	history	
openEHR-EHR-OBSERVATION.body_weight.v2	term	at0002	description	OBSERVATION > data/HISTORY	@ internal @	@ internal @	
openEHR-EHR-OBSERVATION.body_weight.v2	term	at0003	text	OBSERVATION > data/HISTORY > events/EVENT	Any event	任意のイベント	
