archetype	section	code	field	context	source	target	note
openEHR-EHR-OBSERVATION.story.v1	description	-	purpose		To record a narrative description of the clinical history of the subject of care and to provide a framework in which to nest detailed CLUSTER archetypes, each of which will support the narrative with additional structured detail for symptoms, health events and related topics.\n\nUse to record detail about the clinical history as reported by an individual, parent, care-giver or other party. It may be recorded by a clinician as part of a clinical history record as reported to them, or self-recorded as part of a clinical questionnaire or personal health record.	ケア対象者の病歴を叙述的に記録し、症状、健康イベント、および関連する話題について構造化された詳細で叙述を補う詳細な CLUSTER archetype群を入れ子にするための枠組みを提供するため。\n\n本人、親、介護者、またはその他の関係者から報告された病歴の詳細を記録するために用いる。臨床医が報告を受けた病歴の記録の一部として記録することも、臨床質問票や個人健康記録の一部として本人が自ら記録することもある。	
openEHR-EHR-OBSERVATION.story.v1	description	-	use		Use to record a description about subjective health-related observations or impressions from the point of view of the subject of care. \n\nWhen recorded by a clinician within the context of healthcare provision the story can be used for capturing the clinical history, as reported by the subject themselves, a parent, care-giver or other related party. If recorded by the subject, it can be used as an account of their 'story' of symptoms and health experiences, which might be used to share with healthcare providers or to document within their own personal health record.\n\nUse:\n- to record a simple narrative; and/or \n- as a container archetype to enable recording of a detailed structured history by inclusion of relevant CLUSTER archetypes within the 'Detail' SLOT. For example: CLUSTER.symptom, CLUSTER.issue or CLUSTER.health_event archetypes can be appropriately used in this SLOT.\n\nUse to incorporate the narrative descriptions of clinical history captured from existing or legacy clinical systems into an archetyped format, using the 'Story' text data element.	ケア対象者の視点からの、健康に関する主観的な観察や印象についての記述を記録するために用いる。 \n\n医療提供の文脈で臨床医が記録する場合、ストーリーは、本人、親、介護者、またはその他の関係者から報告された病歴を捉えるために使える。本人が記録する場合は、症状や健康上の経験についての本人の「ストーリー」の記述として使え、医療従事者と共有したり、本人の個人健康記録に残したりするために用いることができる。\n\n用途：\n- 単純な叙述を記録する；および／または \n- 「詳細」SLOT に関連する CLUSTER archetypeを含めることで、詳細な構造化された病歴を記録できるようにするコンテナarchetypeとして。例：CLUSTER.symptom、CLUSTER.issue、CLUSTER.health_event の各archetypeをこの SLOT で適切に使用できる。\n\n既存または旧来の臨床システムから取り込んだ病歴の叙述的な記述を、「ストーリー」テキストデータエレメントを用いて archetype化された形式に組み込むために用いる。	
openEHR-EHR-OBSERVATION.story.v1	description	-	misuse		Not to be used to record formal assessments by clinicians which would usually be recorded using the EVALUATION class of archetypes.	臨床医による正式なアセスメントを記録するために用いてはならない。それらは通常、EVALUATION クラスのarchetypeを用いて記録する。	
openEHR-EHR-OBSERVATION.story.v1	description	-	keywords		history | presenting | complaint | story | symptom | health | record | presenting complaint | anamnesis	病歴 | 現病歴 | 主訴 | ストーリー | 症状 | 健康 | 記録 | 既往歴 | アナムネーゼ | 問診	
openEHR-EHR-OBSERVATION.story.v1	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-OBSERVATION.story.v1	term	at0000	text	OBSERVATION	Story/History	ストーリー・病歴	要確認: 「ストーリー・病歴」を採用（他候補: 病歴／経過（targets.tsv の案）、病歴・ストーリー、病歴）。Story は本人の語りという原義を残すためカタカナ、History は「病歴」。区切りは problem_diagnosis に倣い「・」
openEHR-EHR-OBSERVATION.story.v1	term	at0000	description	OBSERVATION	The subjective clinical history of the subject of care as recorded directly by the subject, or reported to a clinician by the subject or a carer.	ケア対象者の主観的な病歴で、本人が直接記録したもの、または本人や介護者から臨床医に報告されたもの。	
openEHR-EHR-OBSERVATION.story.v1	term	at0001	text	OBSERVATION > data/HISTORY	Event Series	Event Series	要確認: Event Series は HISTORY の内部ノード名（description が @ internal @）なので Tree / List / History と同じく英字のまま。訳すなら「イベントシリーズ」
openEHR-EHR-OBSERVATION.story.v1	term	at0001	description	OBSERVATION > data/HISTORY	@ internal @	@ internal @	
openEHR-EHR-OBSERVATION.story.v1	term	at0002	text	OBSERVATION > data/HISTORY > events/EVENT	Any event	任意のイベント	要確認: 「任意のイベント」を採用（他候補: いずれかのイベント、任意イベント）。他の OBSERVATION でも共通の値になるので用語集に登録
openEHR-EHR-OBSERVATION.story.v1	term	at0002	description	OBSERVATION > data/HISTORY > events/EVENT	Default, unspecified point in time or interval event which may be explicitly defined in a template or at run-time.	既定の、特定されていない時点または期間のイベント。テンプレートまたは実行時に明示的に定義できる。	
openEHR-EHR-OBSERVATION.story.v1	term	at0003	text	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE	Tree	Tree	
openEHR-EHR-OBSERVATION.story.v1	term	at0003	description	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE	@ internal @	@ internal @	
openEHR-EHR-OBSERVATION.story.v1	term	at0004	text	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE > items/ELEMENT	Story	ストーリー	要確認: 「ストーリー」を採用（他候補: 病歴、叙述）。概念名との対応を優先
openEHR-EHR-OBSERVATION.story.v1	term	at0004	description	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE > items/ELEMENT	Narrative description of the story or clinical history for the subject of care.	ケア対象者のストーリーまたは病歴の叙述的な記述。	
openEHR-EHR-OBSERVATION.story.v1	term	at0006	text	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE > items/CLUSTER	Structured detail	構造化された詳細	要確認: 「構造化された詳細」を採用（用語集 structured body site＝構造化された身体部位表現 に合わせた）
openEHR-EHR-OBSERVATION.story.v1	term	at0006	description	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE > items/CLUSTER	Structured detail about the individual's story or patient's history.	本人のストーリーまたは患者の病歴についての構造化された詳細。	
openEHR-EHR-OBSERVATION.story.v1	term	at0006	comment	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE > items/CLUSTER	For example: a specific symptom such as nausea or pain; an event such as a fall off a bicycle; or an issue such as a desire to quit using tobacco.	例：悪心や疼痛のような特定の症状；自転車からの転落のようなイベント；禁煙したいという希望のような問題。	
openEHR-EHR-OBSERVATION.story.v1	term	at0007	text	OBSERVATION > protocol/ITEM_TREE	Tree	Tree	
openEHR-EHR-OBSERVATION.story.v1	term	at0007	description	OBSERVATION > protocol/ITEM_TREE	@ internal @	@ internal @	
openEHR-EHR-OBSERVATION.story.v1	term	at0008	text	OBSERVATION > protocol/ITEM_TREE > items/CLUSTER	Extension	Extension	
openEHR-EHR-OBSERVATION.story.v1	term	at0008	description	OBSERVATION > protocol/ITEM_TREE > items/CLUSTER	Additional information required to capture local content or to align with other reference models/formalisms.	ローカルコンテンツを捕捉するため、あるいは他の参照モデルや形式手法と整合させるために必要な追加情報。	要確認: Extension の description / comment は problem_diagnosis 校正版（at0071）の文言に合わせた。用語集の reference models/formalisms＝参照モデル／形式体系 とは表現が異なるため用語集側を更新
openEHR-EHR-OBSERVATION.story.v1	term	at0008	comment	OBSERVATION > protocol/ITEM_TREE > items/CLUSTER	For example: Local information requirements or additional metadata to align with FHIR equivalents.	例：ローカルな情報要件や、FHIR の相当するものに適合させるための追加メタデータ。	
