archetype	section	code	field	context	source	target	note
openEHR-EHR-OBSERVATION.story.v1	description	-	purpose		To record a narrative description of the clinical history of the subject of care and to provide a framework in which to nest detailed CLUSTER archetypes, each of which will support the narrative with additional structured detail for symptoms, health events and related topics.\n\nUse to record detail about the clinical history as reported by an individual, parent, care-giver or other party. It may be recorded by a clinician as part of a clinical history record as reported to them, or self-recorded as part of a clinical questionnaire or personal health record.		
openEHR-EHR-OBSERVATION.story.v1	description	-	use		Use to record a description about subjective health-related observations or impressions from the point of view of the subject of care. \n\nWhen recorded by a clinician within the context of healthcare provision the story can be used for capturing the clinical history, as reported by the subject themselves, a parent, care-giver or other related party. If recorded by the subject, it can be used as an account of their 'story' of symptoms and health experiences, which might be used to share with healthcare providers or to document within their own personal health record.\n\nUse:\n- to record a simple narrative; and/or \n- as a container archetype to enable recording of a detailed structured history by inclusion of relevant CLUSTER archetypes within the 'Detail' SLOT. For example: CLUSTER.symptom, CLUSTER.issue or CLUSTER.health_event archetypes can be appropriately used in this SLOT.\n\nUse to incorporate the narrative descriptions of clinical history captured from existing or legacy clinical systems into an archetyped format, using the 'Story' text data element.		
openEHR-EHR-OBSERVATION.story.v1	description	-	misuse		Not to be used to record formal assessments by clinicians which would usually be recorded using the EVALUATION class of archetypes.		
openEHR-EHR-OBSERVATION.story.v1	description	-	keywords		history | presenting | complaint | story | symptom | health | record | presenting complaint | anamnesis		
openEHR-EHR-OBSERVATION.story.v1	description	-	copyright		© openEHR Foundation		
openEHR-EHR-OBSERVATION.story.v1	term	at0000	text	OBSERVATION	Story/History		
openEHR-EHR-OBSERVATION.story.v1	term	at0000	description	OBSERVATION	The subjective clinical history of the subject of care as recorded directly by the subject, or reported to a clinician by the subject or a carer.		
openEHR-EHR-OBSERVATION.story.v1	term	at0001	text	OBSERVATION > data/HISTORY	Event Series		
openEHR-EHR-OBSERVATION.story.v1	term	at0001	description	OBSERVATION > data/HISTORY	@ internal @		
openEHR-EHR-OBSERVATION.story.v1	term	at0002	text	OBSERVATION > data/HISTORY > events/EVENT	Any event		
openEHR-EHR-OBSERVATION.story.v1	term	at0002	description	OBSERVATION > data/HISTORY > events/EVENT	Default, unspecified point in time or interval event which may be explicitly defined in a template or at run-time.		
openEHR-EHR-OBSERVATION.story.v1	term	at0003	text	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE	Tree		
openEHR-EHR-OBSERVATION.story.v1	term	at0003	description	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE	@ internal @		
openEHR-EHR-OBSERVATION.story.v1	term	at0004	text	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE > items/ELEMENT	Story		
openEHR-EHR-OBSERVATION.story.v1	term	at0004	description	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE > items/ELEMENT	Narrative description of the story or clinical history for the subject of care.		
openEHR-EHR-OBSERVATION.story.v1	term	at0006	text	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE > items/CLUSTER	Structured detail		
openEHR-EHR-OBSERVATION.story.v1	term	at0006	description	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE > items/CLUSTER	Structured detail about the individual's story or patient's history.		
openEHR-EHR-OBSERVATION.story.v1	term	at0006	comment	OBSERVATION > data/HISTORY > events/EVENT > data/ITEM_TREE > items/CLUSTER	For example: a specific symptom such as nausea or pain; an event such as a fall off a bicycle; or an issue such as a desire to quit using tobacco.		
openEHR-EHR-OBSERVATION.story.v1	term	at0007	text	OBSERVATION > protocol/ITEM_TREE	Tree		
openEHR-EHR-OBSERVATION.story.v1	term	at0007	description	OBSERVATION > protocol/ITEM_TREE	@ internal @		
openEHR-EHR-OBSERVATION.story.v1	term	at0008	text	OBSERVATION > protocol/ITEM_TREE > items/CLUSTER	Extension		
openEHR-EHR-OBSERVATION.story.v1	term	at0008	description	OBSERVATION > protocol/ITEM_TREE > items/CLUSTER	Additional information required to capture local content or to align with other reference models/formalisms.		
openEHR-EHR-OBSERVATION.story.v1	term	at0008	comment	OBSERVATION > protocol/ITEM_TREE > items/CLUSTER	For example: Local information requirements or additional metadata to align with FHIR equivalents.		
