archetype_id	cid	status	revision	asset_version	fetched_at
openEHR-EHR-CLUSTER.address.v1	1013.1.273	PUBLISHED	1.1.3	31	2026-09-09T12:07Z
openEHR-EHR-CLUSTER.adverse_reaction_event.v1	1013.1.5795	PUBLISHED	1.0.2	12	2026-09-09T12:07Z
openEHR-EHR-CLUSTER.dosage.v2	1013.1.5948	PUBLISHED	2.0.3	4	2026-09-09T12:08Z
openEHR-EHR-CLUSTER.electronic_communication.v1	1013.1.5356	PUBLISHED	1.0.4	12	2026-09-09T12:07Z
openEHR-EHR-CLUSTER.laboratory_test_analyte.v1	1013.1.2881	PUBLISHED	1.2.3	29	2026-09-09T12:08Z
openEHR-EHR-CLUSTER.media_file.v1	1013.1.1800	PUBLISHED	1.0.6	17	2026-09-09T12:07Z
openEHR-EHR-CLUSTER.medication.v2	1013.1.5947	PUBLISHED	2.0.6	7	2026-09-09T12:08Z
openEHR-EHR-CLUSTER.organisation.v1	1013.1.371	PUBLISHED	1.0.4	25	2026-09-09T12:07Z
openEHR-EHR-CLUSTER.person.v1	1013.1.5358	PUBLISHED	1.0.5	24	2026-09-09T12:07Z
openEHR-EHR-CLUSTER.problem_qualifier.v2	1013.1.6653	PUBLISHED	2.1.1	6	2026-09-09T12:06Z
openEHR-EHR-CLUSTER.specimen.v1	1013.1.331	PUBLISHED	1.1.3	32	2026-09-09T12:08Z
openEHR-EHR-CLUSTER.structured_name.v1	1013.1.5359	PUBLISHED	1.0.3	16	2026-09-09T12:07Z
openEHR-EHR-CLUSTER.symptom_sign.v2	1013.1.6769	PUBLISHED	2.1.4	6	2026-09-11T13:06Z
openEHR-EHR-CLUSTER.therapeutic_direction.v1	1013.1.2753	PUBLISHED	1.4.2	18	2026-09-09T12:08Z
openEHR-EHR-CLUSTER.timing_daily.v1	1013.1.2245	PUBLISHED	1.0.2	18	2026-09-09T12:08Z
openEHR-EHR-COMPOSITION.encounter.v1	1013.1.120	PUBLISHED	1.0.12	23	2026-09-09T12:08Z
openEHR-EHR-COMPOSITION.problem_list.v2	1013.1.4726	PUBLISHED	2.0.2	3	2026-09-09T12:08Z
openEHR-EHR-COMPOSITION.report-result.v1	1013.1.1324	PUBLISHED	1.1.0	13	2026-09-09T12:08Z
openEHR-EHR-COMPOSITION.report.v1	1013.1.677	PUBLISHED	1.3.1	20	2026-09-09T12:08Z
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	1013.1.7022	PUBLISHED	2.0.2	3	2026-09-09T12:07Z
openEHR-EHR-EVALUATION.clinical_synopsis.v1	1013.1.409	PUBLISHED	1.0.5	18	2026-09-09T12:06Z
openEHR-EHR-EVALUATION.family_history.v2	1013.1.2469	REASSESS_DRAFT	2.0.5-alpha	12	2026-09-09T12:07Z
openEHR-EHR-EVALUATION.infectious_disease_summary.v0	1013.1.1918	DRAFT	0.0.1-alpha	2	2026-09-09T12:07Z
openEHR-EHR-EVALUATION.problem_diagnosis.v1	1013.1.169	PUBLISHED	1.7.4	53	2026-09-09T12:06Z
openEHR-EHR-EVALUATION.social_summary.v1	1013.1.2378	PUBLISHED	1.1.1	10	2026-09-09T12:07Z
openEHR-EHR-INSTRUCTION.medication_order.v3	1013.1.5946	PUBLISHED	3.2.1	7	2026-09-09T12:07Z
openEHR-EHR-OBSERVATION.blood_pressure.v2	1013.1.3574	PUBLISHED	2.0.16	17	2026-09-09T12:09Z
openEHR-EHR-OBSERVATION.body_mass_index.v2	1013.1.2893	PUBLISHED	2.1.0	10	2026-09-09T12:08Z
openEHR-EHR-OBSERVATION.body_temperature.v2	1013.1.2796	PUBLISHED	2.1.10	16	2026-09-09T12:09Z
openEHR-EHR-OBSERVATION.body_weight.v2	1013.1.2960	PUBLISHED	2.1.12	18	2026-09-09T12:09Z
openEHR-EHR-OBSERVATION.height.v2	1013.1.3210	PUBLISHED	2.1.1	15	2026-09-09T12:08Z
openEHR-EHR-OBSERVATION.laboratory_test_result.v1	1013.1.2191	PUBLISHED	1.2.8	26	2026-09-09T12:08Z
openEHR-EHR-OBSERVATION.pulse.v2	1013.1.4295	PUBLISHED	2.0.9	10	2026-09-09T12:09Z
openEHR-EHR-OBSERVATION.pulse_oximetry.v1	1013.1.3084	PUBLISHED	1.1.6	17	2026-09-09T12:09Z
openEHR-EHR-OBSERVATION.respiration.v2	1013.1.4218	PUBLISHED	2.0.12	13	2026-09-09T12:09Z
openEHR-EHR-OBSERVATION.story.v1	1013.1.68	PUBLISHED	1.3.3	25	2026-09-09T12:06Z
openEHR-EHR-SECTION.adhoc.v1	1013.1.631	PUBLISHED	1.0.12	20	2026-09-09T12:07Z
