archetype_id	state	revision	ckm_url	updated
openEHR-EHR-COMPOSITION.request.v1	uploaded	1.1.3	https://ckm.openehr.org/ckm/archetypes/1013.1.18	2026-09-20
openEHR-EHR-EVALUATION.problem_diagnosis.v1	uploaded	1.7.4	https://ckm.openehr.org/ckm/archetypes/1013.1.169	2026-09-20
openEHR-EHR-EVALUATION.reason_for_encounter.v1	uploaded	1.0.3	https://ckm.openehr.org/ckm/archetypes/1013.1.290	2026-09-20
openEHR-EHR-INSTRUCTION.service_request.v1	in_progress	1.1.2		2026-09-20
openEHR-EHR-SECTION.referral_details.v0	uploaded	0.0.1-alpha	https://ckm.openehr.org/ckm/archetypes/1013.1.611	2026-09-20
openEHR-EHR-CLUSTER.problem_qualifier.v2	uploaded	2.1.1	https://ckm.openehr.org/ckm/archetypes/1013.1.6653	2026-09-20
openEHR-EHR-OBSERVATION.story.v1	uploaded	1.3.3	https://ckm.openehr.org/ckm/archetypes/1013.1.68	2026-09-20
openEHR-EHR-EVALUATION.clinical_synopsis.v1	uploaded	1.0.5	https://ckm.openehr.org/ckm/archetypes/1013.1.409	2026-09-20
openEHR-EHR-SECTION.adhoc.v1	uploaded	1.0.12	https://ckm.openehr.org/ckm/archetypes/1013.1.631	2026-09-20
openEHR-EHR-CLUSTER.symptom_sign.v2	uploaded	2.1.4	https://ckm.openehr.org/ckm/archetypes/1013.1.6769	2026-09-20
openEHR-EHR-CLUSTER.person.v1	uploaded	1.0.5	https://ckm.openehr.org/ckm/archetypes/1013.1.5358	2026-09-20
openEHR-EHR-CLUSTER.structured_name.v1	uploaded	1.0.3	https://ckm.openehr.org/ckm/archetypes/1013.1.5359	2026-09-20
openEHR-EHR-CLUSTER.address.v1	uploaded	1.1.3	https://ckm.openehr.org/ckm/archetypes/1013.1.273	2026-09-20
openEHR-EHR-CLUSTER.electronic_communication.v1	uploaded	1.0.4	https://ckm.openehr.org/ckm/archetypes/1013.1.5356	2026-09-20
openEHR-EHR-CLUSTER.organisation.v1	uploaded	1.0.4	https://ckm.openehr.org/ckm/archetypes/1013.1.371	2026-09-20
openEHR-EHR-CLUSTER.media_file.v1	uploaded	1.0.6	https://ckm.openehr.org/ckm/archetypes/1013.1.1800	2026-09-20
openEHR-EHR-OBSERVATION.body_temperature.v2	review	2.1.10		2026-09-20
openEHR-EHR-OBSERVATION.body_weight.v2	review	2.1.12		2026-09-20
openEHR-EHR-OBSERVATION.blood_pressure.v2	review	2.0.16		2026-09-20
openEHR-EHR-CLUSTER.anatomical_location.v1	review	1.5.1		2026-09-22
openEHR-EHR-EVALUATION.social_summary.v1	review	1.1.1		2026-09-23
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2	review	2.0.2		2026-09-25
